interaction_id,target,target_id,target_gene_symbol,target_uniprot,target_ensembl_gene_id,target_ligand,target_ligand_id,target_ligand_gene_symbol,target_ligand_ensembl_gene_id,target_ligand_uniprot,target_ligand_pubchem_sid,target_species,ligand,ligand_id,ligand_gene_symbol,ligand_species,ligand_pubchem_sid,type,action,action_comment,selectivity,endogenous,primary_target,concentration_range,affinity_units,affinity_high,affinity_median,affinity_low,original_affinity_units,original_affinity_low_nm,original_affinity_median_nm,original_affinity_high_nm,original_affinity_relation,assay_description,receptor_site,ligand_context,pubmed_id
6355,EP1 receptor,,PTGER1,P34995,ENSG00000160951,,,,,,,Human,SC-51322,,,,,Antagonist,Antagonist,,Selective,f,f,,pKi,,,,-,,,,=,,,,10634944
6356,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,MRE-269,,,,,Agonist,Agonist,,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,17545310
6357,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,omidenepag,,,,,Agonist,Agonist,,Selective,f,f,,pKi,,,,Ki,,,,=,,,,29332128
6358,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,PGN-9856,,,,,Agonist,Agonist,,Not Determined,f,f,,pKi,,,,-,,,,=,,,,30341781
6359,EP2 receptor,,Ptger2,Q62928,ENSRNOG00000050968,,,,,,,Rat,11-deoxy-PGE1,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9537820
6360,EP2 receptor,,Ptger2,Q62053,ENSMUSG00000037759,,,,,,,Mouse,11-deoxy-PGE1,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9313928
6361,EP2 receptor,,Ptger2,Q62053,ENSMUSG00000037759,,,,,,,Mouse,"16,16-dimethyl-PGE2",,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9313928
6362,EP2 receptor,,Ptger2,Q62928,ENSRNOG00000050968,,,,,,,Rat,17-phenyl-ω-trinor-PGE2,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9537820
6363,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,19(R)-OH-PGE2,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,8078484
6364,EP2 receptor,,Ptger2,Q62928,ENSRNOG00000050968,,,,,,,Rat,19(R)-OH-PGE2,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9537820
6365,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,AH13205,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10462542
6366,EP2 receptor,,Ptger2,Q62053,ENSMUSG00000037759,,,,,,,Mouse,AH13205,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9313928
6367,EP2 receptor,,Ptger2,Q62928,ENSRNOG00000050968,,,,,,,Rat,butaprost (free acid form),,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9537820
6368,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,butaprost (free acid form),,,,,Agonist,Full agonist,,Selective,f,f,,pKi,,,,-,,,,=,,,,10634944|10462542
6369,EP2 receptor,,Ptger2,Q62053,ENSMUSG00000037759,,,,,,,Mouse,carbacyclin,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9313928
6370,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,carbacyclin,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10634944
6371,EP2 receptor,,Ptger2,Q62053,ENSMUSG00000037759,,,,,,,Mouse,cicaprost,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9313928
6372,EP2 receptor,,Ptger2,Q62928,ENSRNOG00000050968,,,,,,,Rat,evatanepag,,,,,Agonist,Full agonist,,Not Determined,f,,,pEC50,,,,EC50,,,,=,,,,19250823
6373,EP2 receptor,,Ptger2,Q62928,ENSRNOG00000050968,,,,,,,Rat,evatanepag,,,,,Agonist,Full agonist,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,19250823
6374,EP2 receptor,,Ptger2,Q62053,ENSMUSG00000037759,,,,,,,Mouse,iloprost,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9313928
6375,EP2 receptor,,Ptger2,Q62928,ENSRNOG00000050968,,,,,,,Rat,iloprost,,,,,Agonist,Full agonist,,Not Determined,f,,,pKi,,,,-,,,,=,,,,9537820
6376,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,iloprost,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10634944
6377,EP2 receptor,,Ptger2,Q62053,ENSMUSG00000037759,,,,,,,Mouse,isocarbacyclin,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9313928
6378,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,MB-28767,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10634944|10462542
6379,EP2 receptor,,Ptger2,Q62928,ENSRNOG00000050968,,,,,,,Rat,MB-28767,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9537820
6380,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,misoprostol (free acid form),,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10634944
6381,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,misoprostol (methyl ester),,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10634944
6382,EP2 receptor,,Ptger2,Q62053,ENSMUSG00000037759,,,,,,,Mouse,ONO-AE1-259,,,,,Agonist,Full agonist,,Selective,f,f,,pKi,,,,-,,,,=,,,,10746663
6383,EP2 receptor,,Ptger2,Q62053,ENSMUSG00000037759,,,,,,,Mouse,ONO-AE1-329,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10746663
6384,EP2 receptor,,Ptger2,Q62053,ENSMUSG00000037759,,,,,,,Mouse,ONO-AE-248,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10746663
6385,EP2 receptor,,Ptger2,Q62928,ENSRNOG00000050968,,,,,,,Rat,PGD2,,,,,Agonist,Full agonist,,,t,,,pKi,,,,,,,,,,,,9537820
6386,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,PGD2,,,,,Agonist,Full agonist,,,t,,,pKi,,,,,,,,,,,,10462542
6387,EP2 receptor,,Ptger2,Q62928,ENSRNOG00000050968,,,,,,,Rat,PGE1,,,,,Agonist,Full agonist,,Not Determined,t,f,,pKi,,,,-,,,,=,,,,9537820
6388,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,PGE1,,,,,Agonist,Full agonist,,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,8163486
6389,EP2 receptor,,Ptger2,Q62053,ENSMUSG00000037759,,,,,,,Mouse,PGE1,,,,,Agonist,Full agonist,,Not Determined,t,f,,pKi,,,,-,,,,=,,,,9313928
6390,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,PGE2,,,,,Agonist,Full agonist,,Not Determined,t,t,,pKi,,,,Ki,,,,=,,,,16604093|10634944|10462542
6391,EP2 receptor,,Ptger2,Q62928,ENSRNOG00000050968,,,,,,,Rat,PGE2,,,,,Agonist,Full agonist,,,t,,,pKi,,,,,,,,,,,,9537820
6392,EP2 receptor,,Ptger2,Q62053,ENSMUSG00000037759,,,,,,,Mouse,PGE2,,,,,Agonist,Full agonist,,Not Determined,t,,,pKi,,,,-,,,,=,,,,9313928|10746663|14607240
6393,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,PGF2α,,,,,Agonist,Full agonist,,,t,,,pKi,,,,,,,,,,,,10634944|10462542
6394,EP2 receptor,,Ptger2,Q62928,ENSRNOG00000050968,,,,,,,Rat,PGF2α,,,,,Agonist,Full agonist,,,t,,,pKi,,,,,,,,,,,,9537820
6395,EP2 receptor,,Ptger2,Q62053,ENSMUSG00000037759,,,,,,,Mouse,rivenprost,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,11917107
6396,EP2 receptor,,Ptger2,Q62053,ENSMUSG00000037759,,,,,,,Mouse,[3H]PGE2,,,,,Agonist,Full agonist,,,f,,,pKd,,,,,,,,,,,,14699136
6397,EP2 receptor,,Ptger2,Q62928,ENSRNOG00000050968,,,,,,,Rat,[3H]PGE2,,,,,Agonist,Full agonist,,,f,,,pKd,,,,,,,,,,,,9537820|9440134
6398,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,[3H]PGE2,,,,,Agonist,Full agonist,,Not Determined,f,,,pKd,,,,Kd,,,,=,,,,16604093|10634944
6399,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,taprenepag,,,,,Agonist,Full agonist,,Not Determined,f,,,pIC50,,,,-,,,,=,,,,21376717
6400,EP2 receptor,,Ptger2,Q62928,ENSRNOG00000050968,,,,,,,Rat,taprenepag,,,,,Agonist,Full agonist,,Not Determined,f,,,pIC50,,,,-,,,,=,,,,21376717
6401,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,treprostinil,,,,,Agonist,Full agonist,,Not Determined,f,f,,pKi,,,,-,,,,=,,,,22480736|25542069
6402,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,U46619,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10634944
6403,EP2 receptor,,Ptger2,Q62928,ENSRNOG00000050968,,,,,,,Rat,U46619,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9537820
6404,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,compound 1 [PMID: 20080612],,,,,Allosteric modulator,Positive,,Not Determined,f,,,-,,,,-,,,,=,,,,20080612
6405,EP2 receptor,,Ptger2,Q62928,ENSRNOG00000050968,,,,,,,Rat,AH6809,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9537820
6406,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,AH6809,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,10634944
6407,EP2 receptor,,Ptger2,Q62053,ENSMUSG00000037759,,,,,,,Mouse,AH6809,,,,,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,9313928
6408,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,PF-04418948,,,,,Antagonist,Antagonist,PF-04418948 has weaker affinity at the EP2-receptor in guinea-pigs,Selective,f,f,,pKB,,,,-,,,,=,,,,21595651|22747912
6409,EP2 receptor,,Ptger2,Q62053,ENSMUSG00000037759,,,,,,,Mouse,PF-04418948,,,,,Antagonist,Antagonist,,Not Determined,f,,,pKB,,,,-,,,,=,,,,22747912
6410,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,PF-04852946,,,,,Antagonist,Antagonist,,Selective,f,f,,pKB,,,,KB,,,,=,,,,23786281
6411,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,TG4-155,,,,,Antagonist,Antagonist,TG4-155 also has affinity for the human DP1 receptor (pKb = 7.8),Selective,f,f,,pKB,,,,-,,,,=,,,,22323596
6412,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,TG6-129,,,,,Antagonist,Antagonist,,Selective,f,f,,pKB,,,,KB,,,,=,,,,23914286
6413,EP2 receptor,,PTGER2,P43116,ENSG00000125384,,,,,,,Human,TG7-171,,,,,Antagonist,Antagonist,,Selective,f,f,,pKB,,,,KB,,,,=,,,,24937185
6414,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,beraprost,,,,,Agonist,Agonist,,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,17545310
6415,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,GR 63799,,,,,Agonist,Agonist,EP3-III isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,10634944
6416,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,GR 63799,,,,,Agonist,Agonist,EP3α isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9537820
6417,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,11-deoxy-PGE1,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,9537820
6418,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,17-phenyl-ω-trinor-PGE2,,,,,Agonist,Full agonist,EP3α isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9537820
6419,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,17-phenyl-ω-trinor-PGE2,,,,,Agonist,Full agonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9313928
6420,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,butaprost (free acid form),,,,,Agonist,Full agonist,EP3α isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9537820
6421,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,butaprost (free acid form),,,,,Agonist,Full agonist,EP3-III isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,10634944
6422,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,carbacyclin,,,,,Agonist,Full agonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9313928
6423,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,carbacyclin,,,,,Agonist,Full agonist,EP3-III isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,10634944
6424,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,cicaprost,,,,,Agonist,Full agonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9313928
6425,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,cicaprost,,,,,Agonist,Full agonist,EP3-III isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,10634944
6426,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,cloprostenol,,,,,Agonist,Full agonist,,Not Determined,f,,,pEC50,,,,EC50,,,,=,,,,9694973
6427,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,cloprostenol,,,,,Agonist,Full agonist,EP3-III isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,10634944
6428,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,enprostil,,,,,Agonist,Full agonist,,Not Determined,f,,,pEC50,,,,EC50,,,,=,,,,9694973
6429,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,enprostil,,,,,Agonist,Full agonist,EP3α isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9537820
6430,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,enprostil,,,,,Agonist,Full agonist,EP3-III isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,10634944
6431,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,fluprostenol,,,,,Agonist,Full agonist,EP3-III isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,10634944
6432,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,I-BOP,,,,,Agonist,Full agonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9313928
6433,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,iloprost,,,,,Agonist,Full agonist,EP3-III isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,10634944
6434,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,iloprost,,,,,Agonist,Full agonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9313928
6435,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,iloprost,,,,,Agonist,Full agonist,EP3-I isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,22480736
6436,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,iloprost,,,,,Agonist,Full agonist,EP3α isoform,Not Determined,f,,,pEC50,,,,EC50,,,,=,,,,9537820
6437,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,iloprost,,,,,Agonist,Full agonist,EP3α isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9537820
6438,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,isocarbacyclin,,,,,Agonist,Full agonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9313928
6439,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,MB-28767,,,,,Agonist,Full agonist,EP3α isoform,Not Determined,f,,,pEC50,,,,EC50,,,,=,,,,9537820
6440,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,MB-28767,,,,,Agonist,Full agonist,EP3-III isoform,Selective,f,f,,pKi,,,,Ki,,,,=,,,,10634944
6441,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,MB-28767,,,,,Agonist,Full agonist,,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,9313928
6442,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,misoprostol (free acid form),,,,,Agonist,Full agonist,EP3-III isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,10634944
6443,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,misoprostol (methyl ester),,,,,Agonist,Full agonist,EP3-III isoform,Not Determined,f,t,,pKi,,,,Ki,,,,=,,,,10634944
6444,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,ONO-8713,,,,,Agonist,Full agonist,EP3α isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9537820
6445,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,ONO-AE1-329,,,,,Agonist,Full agonist,EP3α isoform,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,10746663
6446,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,ONO-AE-248,,,,,Agonist,Full agonist,EP3α isoform,Not Determined,f,f,,pKi,,,,Ki,,,,=,,,,10746663|10479656
6447,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,ONO-AE-248,,,,,Agonist,Full agonist,,Selective,f,f,,pEC50,,,,EC50,,,,=,,,,22342278|21323896
6448,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,PGD2,,,,,Agonist,Full agonist,,Not Determined,t,,,pKi,,,,Ki,,,,=,,,,9313928
6449,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,PGD2,,,,,Agonist,Full agonist,EP3α isoform,Not Determined,t,,,pEC50,,,,EC50,,,,=,,,,9537820
6450,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,PGD2,,,,,Agonist,Full agonist,,,t,,,pKi,,,,,,,,,,,,9537820
6451,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,PGD2,,,,,Agonist,Full agonist,EP3α isoform,Not Determined,t,,,pKi,,,,Ki,,,,=,,,,9537820
6452,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,PGE1,,,,,Agonist,Full agonist,,Not Determined,t,,,pKi,,,,Ki,,,,=,,,,9313928
6453,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,PGE1,,,,,Agonist,Full agonist,EP3α isoform,Not Determined,t,,,pEC50,,,,EC50,,,,=,,,,9537820
6454,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,PGE1,,,,,Agonist,Full agonist,,Not Determined,t,,,pKi,,,,Ki,,,,=,,,,9537820
6455,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,PGE2,,,,,Agonist,Full agonist,EP3γ isoform,Not Determined,t,,,pKd,,,,Kd,,,,=,,,,18632791
6456,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,PGE2,,,,,Agonist,Full agonist,EP3-I isoform,Not Determined,t,,,pKd,,,,Kd,,,,=,,,,16604093|22480736|18632791
6457,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,PGE2,,,,,Agonist,Full agonist,EP3β isoform,Not Determined,t,,,pKd,,,,Kd,,,,=,,,,8076679|15937517
6458,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,PGE2,,,,,Agonist,Full agonist,EP3-III isoform,Not Determined,t,f,,pKi,,,,Ki,,,,=,,,,10634944
6459,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,PGE2,,,,,Agonist,Full agonist,,Not Determined,t,f,,pKi,,,,Ki,,,,=,,,,9313928
6460,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,PGE2,,,,,Agonist,Full agonist,,Not Determined,t,,,pKi,,,,-,,,,=,,,,9537820
6461,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,PGE2,,,,,Agonist,Full agonist,EP3-II & -III isoforms,Not Determined,t,,,pKd,,,,Kd,,,,=,,,,18632791
6462,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,PGE2,,,,,Agonist,Full agonist,EP3α isoform,Not Determined,t,,,pKd,,,,Kd,,,,=,,,,9537820|15937517|18632791
6463,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,PGE2,,,,,Agonist,Full agonist,EP3α isoform,Not Determined,t,,,pEC50,,,,EC50,,,,=,,,,9537820
6464,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,PGE2,,,,,Agonist,Full agonist,,Not Determined,t,,,pKd,,,,Kd,,,,=,,,,9313928
6465,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,PGF2α,,,,,Agonist,Full agonist,,Not Determined,t,,,pKi,,,,Ki,,,,=,,,,9313928
6466,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,PGF2α,,,,,Agonist,Full agonist,EP3α isoform,Not Determined,t,,,pEC50,,,,EC50,,,,=,,,,9537820
6467,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,PGF2α,,,,,Agonist,Full agonist,EP3α isoform,Not Determined,t,,,pKi,,,,Ki,,,,=,,,,9537820
6468,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,PGF2α,,,,,Agonist,Full agonist,EP3-III isoform,Not Determined,t,,,pKi,,,,Ki,,,,=,,,,10634944
6469,EP3 receptor,,,,,,,,,,,Guinea pig,SC46275,,,,,Agonist,Full agonist,,Selective,f,f,,pEC50,,,,EC50,,,,=,,,,8140121
6470,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,SC46275,,,,,Agonist,Full agonist,,Not Determined,f,f,,pEC50,,,,EC50,,,,=,,,,16737803
6471,EP3 receptor,,,,,,,,,,,Dog,SC46275,,,,,Agonist,Full agonist,,Not Determined,f,,,pIC50,,,,IC50,,,,=,,,,7562572
6472,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,STA2,,,,,Agonist,Full agonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9313928
6473,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,sulprostone,,,,,Agonist,Full agonist,,Not Determined,f,,,pKi,,,,-,,,,=,,,,9313928
6474,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,sulprostone,,,,,Agonist,Full agonist,,Not Determined,f,,,pEC50,,,,EC50,,,,=,,,,9537820
6475,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,sulprostone,,,,,Agonist,Full agonist,,Not Determined,f,,,pEC50,,,,EC50,,,,=,,,,9694973
6476,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,sulprostone,,,,,Agonist,Full agonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9537820
6477,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,sulprostone,,,,,Agonist,Full agonist,EP3-III isoform,Selective,f,f,,pKi,,,,Ki,,,,=,,,,10634944
6478,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,[3H]PGE2,,,,,Agonist,Full agonist,,,f,,,pKd,,,,,,,,,,,,9537820
6479,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,[3H]PGE2,,,,,Agonist,Full agonist,,Not Determined,f,f,,pKd,,,,Kd,,,,=,,,,16604093|10634944
6480,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,treprostinil,,,,,Agonist,Full agonist,EP3-I isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,22480736
6481,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,U46619,,,,,Agonist,Full agonist,,,f,,,pKi,,,,,,,,,,,,10634944
6482,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,U46619,,,,,Agonist,Full agonist,EP3α isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9537820
6483,EP3 receptor,,Ptger3,P34980,ENSRNOG00000010325,,,,,,,Rat,U46619,,,,,Agonist,Full agonist,EP3α isoform,Not Determined,f,,,pEC50,,,,EC50,,,,=,,,,9537820
6484,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,11-deoxy-PGE1,,,,,Agonist,Partial agonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9313928
6485,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,"16,16-dimethyl-PGE2",,,,,Agonist,Partial agonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9313928
6486,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,GR 63799,,,,,Agonist,Partial agonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9313928
6487,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,ONO-AP-324,,,,,Agonist,Partial agonist,EP3α isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9863659
6488,EP3 receptor,,Ptger3,P30557,ENSMUSG00000040016,,,,,,,Mouse,rivenprost,,,,,Agonist,Partial agonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,11917107
6489,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,AH6809,,,,,Antagonist,Antagonist,EP3-III isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,10634944
6490,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,DG-041,,,,,Antagonist,Antagonist,EP3-I isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,18632791
6491,EP3 receptor,,PTGER3,P43115,ENSG00000050628,,,,,,,Human,DG-041,,,,,Antagonist,Antagonist,EP3-III isoform,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,18632791
