ligand;target;endogenous;ligand_species;target_species;pubmed_id;action
compound 9f [PMID: 24412111];BB3 receptor;f;;Human;24412111;Agonist
compound 9g [PMID: 24412111];BB3 receptor;f;;Human;24412111|26524625;Agonist
compound A [PMID: 28324017];BB3 receptor;f;;Rat;28324017;Agonist
compound A [PMID: 28324017];BB3 receptor;f;;Human;28324017;Agonist
MK-5046;BB3 receptor;f;;Human;23892571|24900253;Agonist
MK-7725;BB3 receptor;f;;Human;24900461;Agonist
NMU (104-114);BB3 receptor;f;;Human;31675498;Agonist
[3H]bag-2;BB3 receptor;f;;Mouse;20096642;Agonist
Ac-Phe-Trp-Ala-His(τBZL)-Nip-Gly-Arg-NH2;BB3 receptor;f;;Human;15635635|20438784|18006692;Full agonist
Ac-Phe-Trp-Ala-His(τBZL)-Nip-Gly-Arg-NH2;BB3 receptor;f;;Human;20438784|18006692;Full agonist
bag-1;BB3 receptor;f;;Rat;20096642;Full agonist
bag-1;BB3 receptor;f;;Mouse;20096642;Full agonist
bag-2;BB3 receptor;f;;Rat;20096642;Full agonist
bag-2;BB3 receptor;f;;Mouse;20096642;Full agonist
compound 21b [PMID: 12723954];BB3 receptor;f;;Human;12723954;Full agonist
[D-Phe6,β-Ala11,Phe13,Nle14]bombesin-(6-14);BB3 receptor;f;;Rat;10454496;Full agonist
[D-Phe6,β-Ala11,Phe13,Nle14]bombesin-(6-14);BB3 receptor;f;;Human;9325344;Full agonist
[D-Phe6,β-Ala11,Phe13,Nle14]bombesin-(6-14);BB3 receptor;f;;Mouse;10454496;Full agonist
[D-Tyr6,Apa-4Cl11,Phe13,Nle14]bombesin-(6-14);BB3 receptor;f;;Human;15102928;Full agonist
[D-Tyr6,Apa-4Cl11,Phe13,Nle14]bombesin-(6-14);BB3 receptor;f;;Human;20438784|18006692;Full agonist
[D-Tyr6,(R)-APA11,Phe13,Nle14]bombesin-(6-14);BB3 receptor;f;;Human;11112777;Full agonist
[D-Tyr6,(R)-APA11,Phe13,Nle14]bombesin-(6-14);BB3 receptor;f;;Human;20438784|18006692;Full agonist
MK-5046;BB3 receptor;f;;Mouse;21036912;Full agonist
MK-5046;BB3 receptor;f;;Human;23892571|24900253;Full agonist
MK-5046;BB3 receptor;f;;Human;24900253;Full agonist
phenylacetyl-Ala,DTrp-phenthylamide;BB3 receptor;f;;Human;12212809|19580790;Full agonist
phenylacetyl-Ala,DTrp-phenthylamide;BB3 receptor;f;;Human;20438784;Full agonist
phenylacetyl-Ala,DTrp-phenthylamide;BB3 receptor;f;;Rat;19580790;Full agonist
phenylacetyl-Ala,DTrp-phenthylamide;BB3 receptor;f;;Mouse;19580790;Full agonist
[125I][D-Tyr6,β-Ala11,Phe13,Nle14]bombesin-(6-14);BB3 receptor;f;;Human;9325344|23892571;Full agonist
bantag-1;BB3 receptor;f;;Rat;20096642;Antagonist
bantag-1;BB3 receptor;f;;Human;20096642|23892571|30971479;Antagonist
bantag-1;BB3 receptor;f;;Mouse;20096642;Antagonist
D-Nal-Cys-Tyr-D-Trp-Lys-Val-Cys-Nal-NH2;BB3 receptor;f;;Human;9325344|9765358|9593699;Antagonist
ML-18;BB3 receptor;f;;Human;25554218;Antagonist
belantamab mafodotin;B cell maturation antigen;f;;Human;;Binding
APRIL;B cell maturation antigen;t;Human;Human;;None
BAFF;B cell maturation antigen;t;Human;Human;;None
ABT-737;BCL2 apoptosis regulator;f;;Human;17256834;Antagonist
navitoclax;BCL2 apoptosis regulator;f;;Human;18841882;Antagonist
obatoclax;BCL2 apoptosis regulator;f;;Human;29407973;Antagonist
venetoclax;BCL2 apoptosis regulator;f;;Human;23291630;Antagonist
ABT-737;Bcl-2-like 1;f;;Human;17256834;Antagonist
navitoclax;Bcl-2-like 1;f;;Human;18841882;Antagonist
obatoclax;Bcl-2-like 1;f;;Human;29407973;Antagonist
venetoclax;Bcl-2-like 1;f;;Human;23291630;Antagonist
A-1331852;Bcl-2-like 1;f;;Human;;Inhibition
ABT-737;Bcl-2-like 2;f;;Human;17256834;Antagonist
venetoclax;Bcl-2-like 2;f;;Human;23291630;Antagonist
compound 8c [PMID: 28760529];BCL6 transcription repressor;f;;Human;28760529;Binding
compound 8c [PMID: 28760529];BCL6 transcription repressor;f;;Human;28760529;Binding
FX1;BCL6 transcription repressor;f;;Human;27482887;Binding
balanol;beta adrenergic receptor kinase 1;f;;Human;20128603;Inhibition
CCG258747;beta adrenergic receptor kinase 1;f;;Human;32234810;Inhibition
compound 101 [PMID: 21596927];beta adrenergic receptor kinase 1;f;;Human;21596927;Inhibition
compound 1o [PMID: 24210504];beta adrenergic receptor kinase 1;f;;Human;24210504;Inhibition
balanol;beta adrenergic receptor kinase 2;f;;Human;20128603;Inhibition
compound 101 [PMID: 21596927];beta adrenergic receptor kinase 2;f;;Human;21596927;Inhibition
AZ3971;beta-secretase 1;f;;Human;;Competitive
AZ-4217;beta-secretase 1;f;;Human;23761903;Competitive
AZD3839;beta-secretase 1;f;;Human;23048024;Competitive
compound 11d  [PMID: 23981898];beta-secretase 1;f;;Human;23981898;Competitive
compound 16 [PMID: 23412139];beta-secretase 1;f;;Human;23412139;Competitive
compound 2 [PMID: 22911925];beta-secretase 1;f;;Human;22911925;Competitive
lanabecestat;beta-secretase 1;f;;Human;24900397;Competitive
LY2811376;beta-secretase 1;f;;Human;22090477;Competitive
LY2886721;beta-secretase 1;f;;Human;;Competitive
oxazine 89;beta-secretase 1;f;;Human;23590342;Competitive
verubecestat;beta-secretase 1;f;;Human;;Competitive
AM-6494;beta-secretase 1;f;;Rat;31589043;Inhibition
AM-6494;beta-secretase 1;f;;Human;31589043;Inhibition
AM-6494;beta-secretase 1;f;;Mouse;31589043;Inhibition
AMG-8718;beta-secretase 1;f;;Human;25363711;Inhibition
atabecestat;beta-secretase 1;f;;Human;;Inhibition
Compound 12 [PMID:28626832];beta-secretase 1;f;;Human;28626832;Inhibition
compound 13 [PMID: 23412139];beta-secretase 1;f;;Human;23412139;Inhibition
compound 15 [PMID: 25699151];beta-secretase 1;f;;Human;25699151;Inhibition
compound 3l [PMID: 30637955];beta-secretase 1;f;;Human;30637955;Inhibition
compound 9 [PMID: 26937601];beta-secretase 1;f;;Human;26937601;Inhibition
compound J [PMID: 21907142];beta-secretase 1;f;;Human;21907142;Inhibition
elenbecestat;beta-secretase 1;f;;Human;;Inhibition
example 2 [WO2013004676];beta-secretase 1;f;;Human;24900681;Inhibition
NB-360;beta-secretase 1;f;;Human;26336937;Inhibition
PF-06684511;beta-secretase 1;f;;Human;29356535;Inhibition
PF-06751979;beta-secretase 1;f;;Human;29613789;Inhibition
RO5508887;beta-secretase 1;f;;Human;25164658;Inhibition
TAK-070;beta-secretase 1;f;;Human;20720123;Non-competitive
AM-6494;beta-secretase 2;f;;Human;31589043;Inhibition
compound 3l [PMID: 30637955];beta-secretase 2;f;;Human;30637955;Inhibition
compound 3 [PMID: 27347366];beta-secretase 2;f;;Human;27347366;Inhibition
compound J [PMID: 21907142];beta-secretase 2;f;;Human;21907142;Inhibition
example 20 [WO2010128058];beta-secretase 2;f;;Human;;Inhibition
example 2 [WO2013004676];beta-secretase 2;f;;Human;24900681;Inhibition
example 41 [WO2012028563];beta-secretase 2;f;;Human;;Inhibition
example 92 [WO2012095521];beta-secretase 2;f;;Human;;Inhibition
example 98 [WO2011020806];beta-secretase 2;f;;Human;23506624;Inhibition
hydroxyethylamine transition-state inhibitor 1;beta-secretase 2;f;;Human;16305800;Inhibition
NB-360;beta-secretase 2;f;;Human;26336937;Inhibition
RO5508887;beta-secretase 2;f;;Human;25164658;Inhibition
verubecestat;beta-secretase 2;f;;Human;;Inhibition
abediterol;β1-adrenoceptor;f;;Human;22588259;Agonist
(-)-adrenaline;β1-adrenoceptor;t;;Human;2849109|14730417;Agonist
arformoterol;β1-adrenoceptor;f;;Human;20655218;Agonist
indacaterol;β1-adrenoceptor;f;;Human;22932315;Agonist
mirabegron;β1-adrenoceptor;f;;Human;17293563;Agonist
(-)-noradrenaline;β1-adrenoceptor;t;;Human;2849109|14730417;Agonist
(-)-Ro 363;β1-adrenoceptor;f;;Human;9117106;Agonist
solabegron;β1-adrenoceptor;f;;Human;16640337;Agonist
isoprenaline;β1-adrenoceptor;f;;Human;8982677|2849109;Full agonist
noradrenaline;β1-adrenoceptor;t;;Human;2849109;Full agonist
(±)-adrenaline;β1-adrenoceptor;f;;Human;2849109;Full agonist
T-0509;β1-adrenoceptor;f;;Human;8982677;Full agonist
CGP 12177;β1-adrenoceptor;f;;Human;10079020;Partial agonist
denopamine;β1-adrenoceptor;f;;Human;10531390|7902433;Partial agonist
dobutamine;β1-adrenoceptor;f;;Human;10531390;Partial agonist
pindolol;β1-adrenoceptor;f;;Human;17804228;Partial agonist
prenalterol;β1-adrenoceptor;f;;Human;10531390|2564629;Partial agonist
[3H](-)CGP 12177;β1-adrenoceptor;f;;Human;15060759;Partial agonist
xamoterol;β1-adrenoceptor;f;;Human;10531390;Partial agonist
acebutolol;β1-adrenoceptor;f;;Human;;Antagonist
atenolol;β1-adrenoceptor;f;;Human;15060759|10079020|15655528;Antagonist
betaxolol;β1-adrenoceptor;f;;Human;10079020;Antagonist
bupranolol;β1-adrenoceptor;f;;Human;10079020|10411574;Antagonist
carvedilol;β1-adrenoceptor;f;;Human;10411574;Antagonist
CGP 12177;β1-adrenoceptor;f;;Human;15060759|15655528;Antagonist
CGP 20712A;β1-adrenoceptor;f;;Human;10079020|15655528|10411574;Antagonist
cicloprolol;β1-adrenoceptor;f;;Human;10079020;Antagonist
esmolol;β1-adrenoceptor;f;;Human;;Antagonist
H87/07;β1-adrenoceptor;f;;Human;10079020;Antagonist
labetalol;β1-adrenoceptor;f;;Human;;Antagonist
levobetaxolol;β1-adrenoceptor;f;;Human;11572462;Antagonist
levobunolol;β1-adrenoceptor;f;;Human;;Antagonist
LK 204-545;β1-adrenoceptor;f;;Human;10079020;Antagonist
metoprolol;β1-adrenoceptor;f;;Human;10079020|15655528|10411574|14730417;Antagonist
nadolol;β1-adrenoceptor;f;;Human;10411574;Antagonist
nebivolol;β1-adrenoceptor;f;;Human;21172342;Antagonist
nebivolol;β1-adrenoceptor;f;;Rabbit;2462161;Antagonist
NIHP;β1-adrenoceptor;f;;Human;10079020;Antagonist
NIP;β1-adrenoceptor;f;;Human;10079020;Antagonist
practolol;β1-adrenoceptor;f;;Human;10079020|15655528;Antagonist
propafenone;β1-adrenoceptor;f;;Human;;Antagonist
(-)-propranolol;β1-adrenoceptor;f;;Human;15060759|10079020|15655528;Antagonist
sotalol;β1-adrenoceptor;f;;Human;;Antagonist
SR59230A;β1-adrenoceptor;f;;Human;10411574;Antagonist
[125I]ICYP;β1-adrenoceptor;f;;Human;8982677|10079020|10531390;Antagonist
[125I](-)ICYP;β1-adrenoceptor;f;;Human;8982677|10079020|15037517;Antagonist
[3H](-)CGP 12177;β1-adrenoceptor;f;;Human;15060759|15655528;Antagonist
arformoterol;β2-adrenoceptor;f;;Human;15324892;Agonist
fenoterol;β2-adrenoceptor;f;;Human;24454993;Agonist
formoterol;β2-adrenoceptor;f;;Human;20590599;Agonist
indacaterol;β2-adrenoceptor;f;;Human;22932315;Agonist
mirabegron;β2-adrenoceptor;f;;Human;17293563;Agonist
(-)-noradrenaline;β2-adrenoceptor;t;;Human;2849109|14730417;Agonist
olodaterol;β2-adrenoceptor;f;;Human;20371707;Agonist
orciprenaline;β2-adrenoceptor;f;;Human;19168263;Agonist
procaterol;β2-adrenoceptor;f;;Human;20590599;Agonist
ractopamine;β2-adrenoceptor;f;;Human;19245211;Agonist
solabegron;β2-adrenoceptor;f;;Human;16640337;Agonist
vilanterol;β2-adrenoceptor;f;;Human;20462258;Agonist
zinterol;β2-adrenoceptor;f;;Human;20590599;Agonist
abediterol;β2-adrenoceptor;f;;Human;22588259;Full agonist
(-)-adrenaline;β2-adrenoceptor;t;;Human;2849109|9295336|14730417;Full agonist
isoprenaline;β2-adrenoceptor;f;;Human;8982677;Full agonist
noradrenaline;β2-adrenoceptor;t;;Human;15102946;Full agonist
salmeterol;β2-adrenoceptor;f;;Human;20590599;Full agonist
ephedrine;β2-adrenoceptor;f;;Human;9295336;Partial agonist
levosalbutamol;β2-adrenoceptor;f;;Human;22182578;Partial agonist
pindolol;β2-adrenoceptor;f;;Human;17804228;Partial agonist
salbutamol;β2-adrenoceptor;f;;Human;10531390|15655528;Partial agonist
[3H]CGP12177;β2-adrenoceptor;f;;Human;12237261;Partial agonist
terbutaline;β2-adrenoceptor;f;;Human;15655528;Partial agonist
Zn2+;β2-adrenoceptor;t;;Human;12409304|11752207;Negative
AS408;β2-adrenoceptor;f;;None;32483378;None
Zn2+;β2-adrenoceptor;t;;Human;12409304|11752207;Positive
alprenolol;β2-adrenoceptor;f;;Human;15655528;Antagonist
atenolol;β2-adrenoceptor;f;;Human;10079020|15655528;Antagonist
betaxolol;β2-adrenoceptor;f;;Human;10079020;Antagonist
bupranolol;β2-adrenoceptor;f;;Human;10079020|10411574;Antagonist
butoxamine;β2-adrenoceptor;f;;Rat;1968985|6140042;Antagonist
butoxamine;β2-adrenoceptor;f;;Rat;15908513;Antagonist
carazolol;β2-adrenoceptor;f;;Human;18829308;Antagonist
carvedilol;β2-adrenoceptor;f;;Human;15655528|10411574;Antagonist
CGP 12177;β2-adrenoceptor;f;;Human;10079020|15655528;Antagonist
cicloprolol;β2-adrenoceptor;f;;Human;10079020;Antagonist
labetalol;β2-adrenoceptor;f;;Human;;Antagonist
levobetaxolol;β2-adrenoceptor;f;;Human;11572462;Antagonist
levobunolol;β2-adrenoceptor;f;;Human;;Antagonist
LK 204-545;β2-adrenoceptor;f;;Human;10079020;Antagonist
metoprolol;β2-adrenoceptor;f;;Human;10079020;Antagonist
nadolol;β2-adrenoceptor;f;;Human;15655528|10411574;Antagonist
nebivolol;β2-adrenoceptor;f;;Human;21172342;Antagonist
NIHP;β2-adrenoceptor;f;;Human;10079020;Antagonist
NIP;β2-adrenoceptor;f;;Human;10079020;Antagonist
propafenone;β2-adrenoceptor;f;;Human;;Antagonist
propranolol;β2-adrenoceptor;f;;Human;10079020|10531390|15655528|12920204;Antagonist
sotalol;β2-adrenoceptor;f;;Human;;Antagonist
SR59230A;β2-adrenoceptor;f;;Human;10411574;Antagonist
[125I]ICYP;β2-adrenoceptor;f;;Human;8982677|10079020;Antagonist
timolol;β2-adrenoceptor;f;;Human;15655528;Antagonist
ICI 118551;β2-adrenoceptor;f;;Human;10079020|15655528|12920204;Inverse agonist
abediterol;β3-adrenoceptor;f;;Human;22588259;Agonist
(-)-adrenaline;β3-adrenoceptor;t;;Human;14730417;Agonist
CL316243;β3-adrenoceptor;f;;Mouse;17717109;Agonist
CL316243;β3-adrenoceptor;f;;Human;11249148;Agonist
CL316243;β3-adrenoceptor;f;;Mouse;17717109|16601951;Agonist
L742791;β3-adrenoceptor;f;;Human;9873496;Agonist
mirabegron;β3-adrenoceptor;f;;Human;17293563;Agonist
SB251023;β3-adrenoceptor;f;;Mouse;11959793;Agonist
solabegron;β3-adrenoceptor;f;;Human;16640337;Agonist
vibegron;β3-adrenoceptor;f;;Human;26709102;Agonist
vibegron;β3-adrenoceptor;f;;Monkey;26709102;Agonist
vibegron;β3-adrenoceptor;f;;Rat;26709102;Agonist
vibegron;β3-adrenoceptor;f;;Dog;26709102;Agonist
amibegron;β3-adrenoceptor;f;;Human;7903415;Full agonist
BRL 37344;β3-adrenoceptor;f;;Mouse;8719421;Full agonist
BRL 37344;β3-adrenoceptor;f;;Rat;8719421;Full agonist
BRL 37344;β3-adrenoceptor;f;;Human;8719421|7903415|7912272|14730417;Full agonist
carazolol;β3-adrenoceptor;f;;Mouse;8719421;Full agonist
carazolol;β3-adrenoceptor;f;;Rat;8719421;Full agonist
carazolol;β3-adrenoceptor;f;;Human;8719421;Full agonist
isoprenaline;β3-adrenoceptor;f;;Rat;8719421;Full agonist
isoprenaline;β3-adrenoceptor;f;;Mouse;8719421|14744619;Full agonist
isoprenaline;β3-adrenoceptor;f;;Human;8982677|9131260|8719421|9117106|14730417|14744619;Full agonist
L 755507;β3-adrenoceptor;f;;Human;20590599;Full agonist
(-)-noradrenaline;β3-adrenoceptor;t;;Mouse;14744619;Full agonist
(-)-noradrenaline;β3-adrenoceptor;t;;Rat;14744619;Full agonist
(-)-noradrenaline;β3-adrenoceptor;t;;Human;9131260|14730417|14744619;Full agonist
(±)-adrenaline;β3-adrenoceptor;t;;Mouse;8719421;Full agonist
(±)-adrenaline;β3-adrenoceptor;t;;Human;8719421|7903415|14730417;Full agonist
(±)-adrenaline;β3-adrenoceptor;t;;Rat;8719421;Full agonist
CGP 12177;β3-adrenoceptor;f;;Human;10079020|8719421|7903415|9117106;Partial agonist
CGP 12177;β3-adrenoceptor;f;;Mouse;8719421;Partial agonist
CGP 12177;β3-adrenoceptor;f;;Rat;8719421;Partial agonist
[125I]ICYP;β3-adrenoceptor;f;;Human;8982677|10079020|9131260|9117106|14744619;Partial agonist
[125I]ICYP;β3-adrenoceptor;f;;Mouse;14744619;Partial agonist
[125I]ICYP;β3-adrenoceptor;f;;Rat;14744619;Partial agonist
bupranolol;β3-adrenoceptor;f;;Human;10079020|10411574|8719421|7903415;Antagonist
CGP 20712A;β3-adrenoceptor;f;;Human;10079020|15655528|10411574|8719421;Antagonist
ICI 118551;β3-adrenoceptor;f;;Human;10079020|15655528|8719421|14730417;Antagonist
L748328;β3-adrenoceptor;f;;Human;10411574;Antagonist
L-748337;β3-adrenoceptor;f;;Human;10411574;Antagonist
levobunolol;β3-adrenoceptor;f;;Mouse;14744619;Antagonist
levobunolol;β3-adrenoceptor;f;;Human;14744619;Antagonist
levobunolol;β3-adrenoceptor;f;;Rat;14744619;Antagonist
nadolol;β3-adrenoceptor;f;;Human;10411574;Antagonist
nebivolol;β3-adrenoceptor;f;;Human;21172342;Antagonist
propranolol;β3-adrenoceptor;f;;Mouse;14744619;Antagonist
propranolol;β3-adrenoceptor;f;;Rat;14744619;Antagonist
propranolol;β3-adrenoceptor;f;;Human;10079020|14744619;Antagonist
SR59230A;β3-adrenoceptor;f;;Human;10411574|14730417|8730727;Antagonist
tertatolol;β3-adrenoceptor;f;;Human;14744619;Antagonist
tertatolol;β3-adrenoceptor;f;;Rat;14744619;Antagonist
tertatolol;β3-adrenoceptor;f;;Mouse;14744619;Antagonist
LU32-176B;BGT1;f;;Mouse;15550575;Inhibition
NNC052090;BGT1;f;;Mouse;9134205;Inhibition
(R)-EF-1520;BGT1;f;;Human;;Inhibition
(R/S) EF-1500;BGT1;f;;Human;;Inhibition
(S)-EF-1520;BGT1;f;;Human;;Inhibition
acalabrutinib;BLK proto-oncogene, Src family tyrosine kinase;f;;Human;26641137;Inhibition
CEP-11981;BLK proto-oncogene, Src family tyrosine kinase;f;;Human;22148921;Inhibition
compound 25 [PMID: 31260299];BLK proto-oncogene, Src family tyrosine kinase;f;;Human;31260299;Inhibition
compound 2 [PMID: 15546730];BLK proto-oncogene, Src family tyrosine kinase;f;;Human;15546730;Inhibition
compound 31 [PMID: 24915291];BLK proto-oncogene, Src family tyrosine kinase;f;;Human;24915291;Inhibition
compound 38 [PMID: 24915291];BLK proto-oncogene, Src family tyrosine kinase;f;;Human;24915291;Inhibition
compound 9 [PMID: 26006010];BLK proto-oncogene, Src family tyrosine kinase;f;;Human;26006010;Inhibition
eCF506;BLK proto-oncogene, Src family tyrosine kinase;f;;Human;27115835;Inhibition
ibrutinib;BLK proto-oncogene, Src family tyrosine kinase;f;;Human;26641137;Inhibition
ibrutinib;BLK proto-oncogene, Src family tyrosine kinase;f;;Human;22394077;Inhibition
PRN694;BLK proto-oncogene, Src family tyrosine kinase;f;;Human;25593320;Inhibition
WZ4002;BLK proto-oncogene, Src family tyrosine kinase;f;;Human;20033049;Inhibition
ZAK inhibitor 6p;BLK proto-oncogene, Src family tyrosine kinase;f;;Human;31244114;Inhibition
12R-HETE;BLT1 receptor;t;;Human;9177352;Full agonist
20-hydroxy-LTB4;BLT1 receptor;t;;Human;9177352;Full agonist
LTB4;BLT1 receptor;t;;Human;;Full agonist
[3H]LTB4;BLT1 receptor;f;;Rat;10471406;Full agonist
[3H]LTB4;BLT1 receptor;f;;Mouse;9743525;Full agonist
[3H]LTB4;BLT1 receptor;f;;Human;9177352;Full agonist
BIIL 260;BLT1 receptor;f;;Human;11259574|17170051;Antagonist
BIIL 260;BLT1 receptor;f;;Human;11259574|17170051;Antagonist
CP105696;BLT1 receptor;f;;Human;7714764;Antagonist
CP-195543;BLT1 receptor;f;;Human;9618393;Antagonist
CP-195543;BLT1 receptor;f;;Human;9618393;Antagonist
etalocib;BLT1 receptor;f;;Human;9862783;Antagonist
etalocib;BLT1 receptor;f;;Human;9862783;Antagonist
LY255283;BLT1 receptor;f;;Human;1659282;Antagonist
ONO-4057;BLT1 receptor;f;;Human;1332129;Antagonist
ONO-4057;BLT1 receptor;f;;Human;1332129;Antagonist
RO5101576;BLT1 receptor;f;;Human;20214997;Antagonist
SC-41930;BLT1 receptor;f;;Human;7786309;Antagonist
SC-41930;BLT1 receptor;f;;Human;7786309;Antagonist
[3H]CGS23131;BLT1 receptor;f;;Human;1320692;Antagonist
U75302;BLT1 receptor;f;;Human;10513580;Antagonist
12-hydroxyheptadecatrienoic acid;BLT2 receptor;t;;Human;18378794;Full agonist
12-hydroxyheptadecatrienoic acid;BLT2 receptor;t;;Human;18378794;Full agonist
CAY10583;BLT2 receptor;f;;Mouse;15866883;Full agonist
CAY10583;BLT2 receptor;f;;Human;15866883;Full agonist
12-epi LTB4;BLT2 receptor;t;;Human;11278893;Partial agonist
12S-HETE;BLT2 receptor;t;;Human;11278893;Partial agonist
15S-HETE;BLT2 receptor;t;;Human;11278893;Partial agonist
CP-195543;BLT2 receptor;f;;Human;11278893;Partial agonist
LTB4;BLT2 receptor;t;;Human;18378794;Partial agonist
LTB4;BLT2 receptor;t;;Human;18378794;Partial agonist
LTB4;BLT2 receptor;t;;Human;10934230;Partial agonist
CP-195543;BLT2 receptor;f;;Human;11278893;Antagonist
LY255283;BLT2 receptor;f;;Human;11278893|1316967;Antagonist
ZK-158252;BLT2 receptor;f;;Human;11278893;Antagonist
[3H]LTB4;BLT2 receptor;f;;Human;;None
baricitinib;BMP2 inducible kinase;f;;Human;32113509;Inhibition
compound 5m [PMID: 20483621];BMP2 inducible kinase;f;;Human;20483621;Inhibition
acalabrutinib;BMX non-receptor tyrosine kinase;f;;Human;26641137;Inhibition
BMX-IN-1;BMX non-receptor tyrosine kinase;f;;Human;23594111;Inhibition
compound 31 [PMID: 24915291];BMX non-receptor tyrosine kinase;f;;Human;24915291;Inhibition
compound 38 [PMID: 24915291];BMX non-receptor tyrosine kinase;f;;Human;24915291;Inhibition
compound 9 [PMID: 26006010];BMX non-receptor tyrosine kinase;f;;Human;26006010;Inhibition
ibrutinib;BMX non-receptor tyrosine kinase;f;;Human;22394077;Inhibition
ibrutinib;BMX non-receptor tyrosine kinase;f;;Human;26641137;Inhibition
PRN694;BMX non-receptor tyrosine kinase;f;;Human;25593320;Inhibition
ZYBT1;BMX non-receptor tyrosine kinase;f;;Human;32790160;Inhibition
compound 2 [PMID: 11934595];bone morphogenetic protein 1;f;;Human;11934595;Inhibition
BMP-10;Bone morphogenetic protein receptors;t;Human;Human;;Agonist
BMP-2;Bone morphogenetic protein receptors;t;Human;Human;;Agonist
BMP-4;Bone morphogenetic protein receptors;t;Human;Human;;Agonist
BMP-5;Bone morphogenetic protein receptors;t;Human;Human;;Agonist
BMP-6;Bone morphogenetic protein receptors;t;Human;Human;;Agonist
BMP-7;Bone morphogenetic protein receptors;t;Human;Human;;Agonist
BMP-8A;Bone morphogenetic protein receptors;t;Human;Human;;Agonist
BMP-8B;Bone morphogenetic protein receptors;t;Human;Human;;Agonist
BMP-9;Bone morphogenetic protein receptors;t;Human;Human;;Agonist
BMS-986165;bone morphogenetic protein receptor type 2;f;;Human;31318208;Inhibition
compound 13a [PMID: 23639540];bone morphogenetic protein receptor type 2;f;;Human;23639540;Inhibition
compound 13a [PMID: 23639540];bone morphogenetic protein receptor type IA;f;;Human;23639540;Inhibition
compound 13d [PMID: 23639540];bone morphogenetic protein receptor type IA;f;;Human;23639540;Inhibition
compound 13r [PMID: 23639540];bone morphogenetic protein receptor type IA;f;;Human;23639540;Inhibition
LDN-214117;bone morphogenetic protein receptor type IA;f;;Human;25101911;Inhibition
ML347;bone morphogenetic protein receptor type IA;f;;Human;23639540;Inhibition
compound 13a [PMID: 23639540];bone morphogenetic protein receptor type IB;f;;Human;23639540;Inhibition
compound 13d [PMID: 23639540];bone morphogenetic protein receptor type IB;f;;Human;23639540;Inhibition
compound 13r [PMID: 23639540];bone morphogenetic protein receptor type IB;f;;Human;23639540;Inhibition
galunisertib;bone morphogenetic protein receptor type IB;f;;Human;29467918;Inhibition
agerafenib;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;22168626;Inhibition
AZ628;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;18020980;Inhibition
CCT196969;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;25500121;Inhibition
CCT241161;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;25500121;Inhibition
CHIR-265;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;22037378;Inhibition
compound 2 [PMID: 26061392];B-Raf proto-oncogene, serine/threonine kinase;f;;Human;26061392;Inhibition
dabrafenib;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;;Inhibition
GDC-0879;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;22037378|18676143;Inhibition
L779450;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;16260133;Inhibition
lifirafenib;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;26208524;Inhibition
LXH254;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;31059256;Inhibition
LY3009120;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;26343583;Inhibition
PLX-4720;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;22037378;Inhibition
PLX-4720;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;18287029;Inhibition
PLX8394;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;26466569;Inhibition
regorafenib;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;22222036;Inhibition
SB590885;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;17145850;Inhibition
sorafenib;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;15466206;Inhibition
SZM594;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;30825190;Inhibition
TAK-580;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;28082416;Inhibition
TAK-632;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;23906342;Inhibition
TAK-632;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;23906342;Inhibition
vemurafenib;B-Raf proto-oncogene, serine/threonine kinase;f;;Human;22808911;Inhibition
compound 27 [PMID: 26938474];Branched chain amino acid transaminase 2;f;;Human;26938474;Inhibition
compound 42 [PMID: 26938474];Branched chain amino acid transaminase 2;f;;Human;26938474;Inhibition
BAZ2-ICR;bromodomain adjacent to zinc finger domain 2A;f;;Human;25719566;Inhibition
GSK2801;bromodomain adjacent to zinc finger domain 2A;f;;Human;;Inhibition
GSK2801;bromodomain adjacent to zinc finger domain 2B;f;;Human;;Binding
BAZ2-ICR;bromodomain adjacent to zinc finger domain 2B;f;;Human;25719566;Inhibition
compound 1 [PMID: 25719566];bromodomain adjacent to zinc finger domain 2B;f;;Human;25719566;Inhibition
compound 7 [PMID: 25719566];bromodomain adjacent to zinc finger domain 2B;f;;Human;25719566;Inhibition
