interaction_id,target,target_id,target_gene_symbol,target_uniprot,target_ensembl_gene_id,target_ligand,target_ligand_id,target_ligand_gene_symbol,target_ligand_ensembl_gene_id,target_ligand_uniprot,target_ligand_pubchem_sid,target_species,ligand,ligand_id,ligand_gene_symbol,ligand_species,ligand_pubchem_sid,approved_drug,type,action,action_comment,selectivity,endogenous,primary_target,concentration_range,affinity_units,affinity_high,affinity_median,affinity_low,original_affinity_units,original_affinity_low_nm,original_affinity_median_nm,original_affinity_high_nm,original_affinity_relation,assay_description,receptor_site,ligand_context,pubmed_id
3175,β3-adrenoceptor,,ADRB3,P13945,ENSG00000188778,,,,,,,Human,L748328,,,,,f,Antagonist,Antagonist,,Selective,f,f,,pKi,,,,Ki,,,,=,,,,10411574
3176,β3-adrenoceptor,,ADRB3,P13945,ENSG00000188778,,,,,,,Human,L-748337,,,,,f,Antagonist,Antagonist,,Selective,f,f,,pKi,,,,-,,,,=,,,,10411574
3177,β3-adrenoceptor,,Adrb3,P25962,ENSMUSG00000031489,,,,,,,Mouse,levobunolol,,,,,t,Antagonist,Antagonist,,Non-selective,f,f,,pKi,,,,-,,,,=,,,,14744619
3178,β3-adrenoceptor,,ADRB3,P13945,ENSG00000188778,,,,,,,Human,levobunolol,,,,,t,Antagonist,Antagonist,,Non-selective,f,t,,pKi,,,,Ki,,,,=,,,,14744619
3179,β3-adrenoceptor,,Adrb3,P26255,ENSRNOG00000012674,,,,,,,Rat,levobunolol,,,,,t,Antagonist,Antagonist,,Non-selective,f,f,,pKi,,,,-,,,,=,,,,14744619
3180,β3-adrenoceptor,,ADRB3,P13945,ENSG00000188778,,,,,,,Human,nadolol,,,,,t,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,10411574
3181,β3-adrenoceptor,,ADRB3,P13945,ENSG00000188778,,,,,,,Human,nebivolol,,,,,t,Antagonist,Antagonist,,Not Determined,f,f,,pKi,,,,-,,,,=,Radioligand binding,,,21172342
3182,β3-adrenoceptor,,Adrb3,P25962,ENSMUSG00000031489,,,,,,,Mouse,propranolol,,,,,t,Antagonist,Antagonist,,Non-selective,f,f,,pKi,,,,-,,,,=,,,,14744619
3183,β3-adrenoceptor,,Adrb3,P26255,ENSRNOG00000012674,,,,,,,Rat,propranolol,,,,,t,Antagonist,Antagonist,,Non-selective,f,f,,pKi,,,,-,,,,=,,,,14744619
3184,β3-adrenoceptor,,ADRB3,P13945,ENSG00000188778,,,,,,,Human,propranolol,,,,,t,Antagonist,Antagonist,,Non-selective,f,t,,pKi,,,,-,,,,=,,,,10079020|14744619
3185,β3-adrenoceptor,,ADRB3,P13945,ENSG00000188778,,,,,,,Human,SR59230A,,,,,f,Antagonist,Antagonist,,Not Determined,f,f,,pKi,,,,-,,,,=,,,,10411574|14730417|8730727
3186,β3-adrenoceptor,,ADRB3,P13945,ENSG00000188778,,,,,,,Human,tertatolol,,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,14744619
3187,β3-adrenoceptor,,Adrb3,P26255,ENSRNOG00000012674,,,,,,,Rat,tertatolol,,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,14744619
3188,β3-adrenoceptor,,Adrb3,P25962,ENSMUSG00000031489,,,,,,,Mouse,tertatolol,,,,,f,Antagonist,Antagonist,,,f,,,pKi,,,,,,,,,,,,14744619
3189,BGT1,,Slc6a12,P31651,ENSMUSG00000030109,,,,,,,Mouse,LU32-176B,,,,,f,Inhibitor,Inhibition,,Selective,f,f,,pIC50,,,,IC50,,,,=,,,,15550575
3190,BGT1,,Slc6a12,P31651,ENSMUSG00000030109,,,,,,,Mouse,NNC052090,,,,,f,Inhibitor,Inhibition,,Selective,f,f,,pKi,,,,Ki,,,,=,,,,9134205
3191,BGT1,,SLC6A12,P48065,ENSG00000111181,,,,,,,Human,(R)-EF-1520,,,,,f,Inhibitor,Inhibition,,Selective,f,f,,pIC50,,,,IC50,,,,=,,,,
3192,BGT1,,SLC6A12,P48065,ENSG00000111181,,,,,,,Human,(R/S) EF-1500,,,,,f,Inhibitor,Inhibition,,Selective,f,,,pIC50,,,,IC50,,,,,,,,
3193,BGT1,,SLC6A12,P48065,ENSG00000111181,,,,,,,Human,(S)-EF-1520,,,,,f,Inhibitor,Inhibition,,Selective,f,f,,pIC50,,,,IC50,,,,=,,,,
3194,"BLK proto-oncogene, Src family tyrosine kinase",,BLK,P51451,ENSG00000136573,,,,,,,Human,acalabrutinib,,,,,t,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,>,,,,26641137
3195,"BLK proto-oncogene, Src family tyrosine kinase",,BLK,P51451,ENSG00000136573,,,,,,,Human,CEP-11981,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,22148921
3196,"BLK proto-oncogene, Src family tyrosine kinase",,BLK,P51451,ENSG00000136573,,,,,,,Human,compound 25 [PMID: 31260299],,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,31260299
3197,"BLK proto-oncogene, Src family tyrosine kinase",,BLK,P51451,ENSG00000136573,,,,,,,Human,compound 2 [PMID: 15546730],,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,15546730
3198,"BLK proto-oncogene, Src family tyrosine kinase",,BLK,P51451,ENSG00000136573,,,,,,,Human,compound 31 [PMID: 24915291],,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,24915291
3199,"BLK proto-oncogene, Src family tyrosine kinase",,BLK,P51451,ENSG00000136573,,,,,,,Human,compound 38 [PMID: 24915291],,,,,f,Inhibitor,Inhibition,,Non-selective,f,f,,pIC50,,,,IC50,,,,=,,,,24915291
3200,"BLK proto-oncogene, Src family tyrosine kinase",,BLK,P51451,ENSG00000136573,,,,,,,Human,compound 9 [PMID: 26006010],,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,26006010
3201,"BLK proto-oncogene, Src family tyrosine kinase",,BLK,P51451,ENSG00000136573,,,,,,,Human,eCF506,,,,,f,Inhibitor,Inhibition,,Family selective,f,f,,pIC50,,,,IC50,,,,=,,,,27115835
3202,"BLK proto-oncogene, Src family tyrosine kinase",,BLK,P51451,ENSG00000136573,,,,,,,Human,ibrutinib,,,,,t,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,26641137
3203,"BLK proto-oncogene, Src family tyrosine kinase",,BLK,P51451,ENSG00000136573,,,,,,,Human,ibrutinib,,,,,t,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,22394077
3204,"BLK proto-oncogene, Src family tyrosine kinase",,BLK,P51451,ENSG00000136573,,,,,,,Human,PRN694,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,25593320
3205,"BLK proto-oncogene, Src family tyrosine kinase",,BLK,P51451,ENSG00000136573,,,,,,,Human,WZ4002,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pKd,,,,Kd,,,,=,,,,20033049
3206,"BLK proto-oncogene, Src family tyrosine kinase",,BLK,P51451,ENSG00000136573,,,,,,,Human,ZAK inhibitor 6p,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pKd,,,,Kd,,,,=,,,,31244114
3207,BLT1 receptor,,LTB4R,Q15722,ENSG00000213903,,,,,,,Human,12R-HETE,,,,,f,Agonist,Full agonist,,Not Determined,t,,,pKi,,,,Ki,,,,=,,,,9177352
3208,BLT1 receptor,,LTB4R,Q15722,ENSG00000213903,,,,,,,Human,20-hydroxy-LTB4,,,,,f,Agonist,Full agonist,,Not Determined,t,,,pKi,,,,Ki,,,,=,,,,9177352
3209,BLT1 receptor,,LTB4R,Q15722,ENSG00000213903,,,,,,,Human,LTB4,,,,,f,Agonist,Full agonist,,Not Determined,t,,,pKi,,,,Ki,,,,=,,,,
3210,BLT1 receptor,,Ltb4r,Q9R0Q2,ENSRNOG00000020399,,,,,,,Rat,[3H]LTB4,,,,,f,Agonist,Full agonist,,Not Determined,f,,,pKd,,,,Kd,,,,=,,,,10471406
3211,BLT1 receptor,,Ltb4r1,O88855,ENSMUSG00000046908,,,,,,,Mouse,[3H]LTB4,,,,,f,Agonist,Full agonist,,Not Determined,f,,,pKd,,,,Kd,,,,=,,,,9743525
3212,BLT1 receptor,,LTB4R,Q15722,ENSG00000213903,,,,,,,Human,[3H]LTB4,,,,,f,Agonist,Full agonist,,Not Determined,f,,,pKd,,,,Kd,,,,=,,,,9177352
3213,BLT1 receptor,,LTB4R,Q15722,ENSG00000213903,,,,,,,Human,BIIL 260,,,,,f,Antagonist,Antagonist,,Selective,f,f,,pKi,,,,Ki,,,,=,,,,11259574|17170051
3214,BLT1 receptor,,LTB4R,Q15722,ENSG00000213903,,,,,,,Human,BIIL 260,,,,,f,Antagonist,Antagonist,,Not Determined,f,,,pIC50,,,,IC50,,,,=,,,,11259574|17170051
3215,BLT1 receptor,,LTB4R,Q15722,ENSG00000213903,,,,,,,Human,CP105696,,,,,f,Antagonist,Antagonist,,Selective,f,,,pIC50,,,,IC50,,,,=,,,,7714764
3216,BLT1 receptor,,LTB4R,Q15722,ENSG00000213903,,,,,,,Human,CP-195543,,,,,f,Antagonist,Antagonist,,Not Determined,f,,,pIC50,,,,IC50,,,,=,,,,9618393
3217,BLT1 receptor,,LTB4R,Q15722,ENSG00000213903,,,,,,,Human,CP-195543,,,,,f,Antagonist,Antagonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9618393
3218,BLT1 receptor,,LTB4R,Q15722,ENSG00000213903,,,,,,,Human,etalocib,,,,,f,Antagonist,Antagonist,,Not Determined,f,,,pIC50,,,,IC50,,,,=,,,,9862783
3219,BLT1 receptor,,LTB4R,Q15722,ENSG00000213903,,,,,,,Human,etalocib,,,,,f,Antagonist,Antagonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,9862783
3220,BLT1 receptor,,LTB4R,Q15722,ENSG00000213903,,,,,,,Human,LY255283,,,,,f,Antagonist,Antagonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,1659282
3221,BLT1 receptor,,LTB4R,Q15722,ENSG00000213903,,,,,,,Human,ONO-4057,,,,,f,Antagonist,Antagonist,,Not Determined,f,,,pIC50,,,,IC50,,,,=,,,,1332129
3222,BLT1 receptor,,LTB4R,Q15722,ENSG00000213903,,,,,,,Human,ONO-4057,,,,,f,Antagonist,Antagonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,1332129
3223,BLT1 receptor,,LTB4R,Q15722,ENSG00000213903,,,,,,,Human,RO5101576,,,,,f,Antagonist,Antagonist,,Not Determined,f,,,pIC50,,,,IC50,,,,=,,,,20214997
3224,BLT1 receptor,,LTB4R,Q15722,ENSG00000213903,,,,,,,Human,SC-41930,,,,,f,Antagonist,Antagonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,7786309
3225,BLT1 receptor,,LTB4R,Q15722,ENSG00000213903,,,,,,,Human,SC-41930,,,,,f,Antagonist,Antagonist,,Not Determined,f,,,pIC50,,,,IC50,,,,=,,,,7786309
3226,BLT1 receptor,,LTB4R,Q15722,ENSG00000213903,,,,,,,Human,[3H]CGS23131,,,,,f,Antagonist,Antagonist,,Not Determined,f,,,pKd,,,,Kd,,,,=,,,,1320692
3227,BLT1 receptor,,LTB4R,Q15722,ENSG00000213903,,,,,,,Human,U75302,,,,,f,Antagonist,Antagonist,,Selective,f,,,pKi,,,,Ki,,,,=,,,,10513580
3228,BLT2 receptor,,LTB4R2,Q9NPC1,ENSG00000213906,,,,,,,Human,12-hydroxyheptadecatrienoic acid,,,,,f,Agonist,Full agonist,,Not Determined,t,,,pEC50,,,,EC50,,,,=,,,,18378794
3229,BLT2 receptor,,LTB4R2,Q9NPC1,ENSG00000213906,,,,,,,Human,12-hydroxyheptadecatrienoic acid,,,,,f,Agonist,Full agonist,,Not Determined,t,,,pIC50,,,,IC50,,,,=,,,,18378794
3230,BLT2 receptor,,Ltb4r2,Q9JJL9,ENSMUSG00000040432,,,,,,,Mouse,CAY10583,,,,,f,Agonist,Full agonist,,Not Determined,f,,,pKi,,,,Ki,,,,=,,,,15866883
3231,BLT2 receptor,,LTB4R2,Q9NPC1,ENSG00000213906,,,,,,,Human,CAY10583,,,,,f,Agonist,Full agonist,,Not Determined,f,,,pEC50,,,,EC50,,,,=,,,,15866883
3232,BLT2 receptor,,LTB4R2,Q9NPC1,ENSG00000213906,,,,,,,Human,12-epi LTB4,,,,,f,Agonist,Partial agonist,,Not Determined,t,,,pEC50,,,,EC50,,,,>,,,,11278893
3233,BLT2 receptor,,LTB4R2,Q9NPC1,ENSG00000213906,,,,,,,Human,12S-HETE,,,,,f,Agonist,Partial agonist,,Not Determined,t,f,,pEC50,,,,EC50,,,,>,,,,11278893
3234,BLT2 receptor,,LTB4R2,Q9NPC1,ENSG00000213906,,,,,,,Human,15S-HETE,,,,,f,Agonist,Partial agonist,,Not Determined,t,,,pEC50,,,,EC50,,,,>,,,,11278893
3235,BLT2 receptor,,LTB4R2,Q9NPC1,ENSG00000213906,,,,,,,Human,CP-195543,,,,,f,Agonist,Partial agonist,,Not Determined,f,,,pEC50,,,,EC50,,,,>,,,,11278893
3236,BLT2 receptor,,LTB4R2,Q9NPC1,ENSG00000213906,,,,,,,Human,LTB4,,,,,f,Agonist,Partial agonist,,Not Determined,t,,,pIC50,,,,IC50,,,,=,,,,18378794
3237,BLT2 receptor,,LTB4R2,Q9NPC1,ENSG00000213906,,,,,,,Human,LTB4,,,,,f,Agonist,Partial agonist,,Not Determined,t,,,pEC50,,,,EC50,,,,=,,,,18378794
3238,BLT2 receptor,,LTB4R2,Q9NPC1,ENSG00000213906,,,,,,,Human,LTB4,,,,,f,Agonist,Partial agonist,,Not Determined,t,,,pKd,,,,Kd,,,,=,,,,10934230
3239,BLT2 receptor,,LTB4R2,Q9NPC1,ENSG00000213906,,,,,,,Human,CP-195543,,,,,f,Antagonist,Antagonist,,Not Determined,f,,,pIC50,,,,IC50,,,,=,,,,11278893
3240,BLT2 receptor,,LTB4R2,Q9NPC1,ENSG00000213906,,,,,,,Human,LY255283,,,,,f,Antagonist,Antagonist,,Selective,f,,,pIC50,,,,IC50,,,,=,,,,11278893|1316967
3241,BLT2 receptor,,LTB4R2,Q9NPC1,ENSG00000213906,,,,,,,Human,ZK-158252,,,,,f,Antagonist,Antagonist,,Not Determined,f,,,pIC50,,,,IC50,,,,=,,,,11278893
3242,BLT2 receptor,,LTB4R2,Q9NPC1,ENSG00000213906,,,,,,,Human,[3H]LTB4,,,,,f,None,None,,Not Determined,f,,,pKd,,,,Kd,,,,=,,,,
3243,BMP2 inducible kinase,,BMP2K,Q9NSY1,ENSG00000138756,,,,,,,Human,baricitinib,,,,,t,Inhibitor,Inhibition,,Not Determined,f,f,,pKd,,,,Kd,,,,=,Binding affinity determined in a cell-free biochemical assay.,,,32113509
3244,BMP2 inducible kinase,,BMP2K,Q9NSY1,ENSG00000138756,,,,,,,Human,compound 5m [PMID: 20483621],,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,-,,,,-,,,,=,Measured as % inhibition using 1μM compound.,,,20483621
3245,BMX non-receptor tyrosine kinase,,BMX,P51813,ENSG00000102010,,,,,,,Human,acalabrutinib,,,,,t,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,26641137
3246,BMX non-receptor tyrosine kinase,,BMX,P51813,ENSG00000102010,,,,,,,Human,BMX-IN-1,,,,,f,Inhibitor,Inhibition,,Selective,f,t,,pIC50,,,,IC50,,,,=,,,,23594111
3247,BMX non-receptor tyrosine kinase,,BMX,P51813,ENSG00000102010,,,,,,,Human,compound 31 [PMID: 24915291],,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,24915291
3248,BMX non-receptor tyrosine kinase,,BMX,P51813,ENSG00000102010,,,,,,,Human,compound 38 [PMID: 24915291],,,,,f,Inhibitor,Inhibition,,Non-selective,f,f,,pIC50,,,,IC50,,,,=,,,,24915291
3249,BMX non-receptor tyrosine kinase,,BMX,P51813,ENSG00000102010,,,,,,,Human,compound 9 [PMID: 26006010],,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,26006010
3250,BMX non-receptor tyrosine kinase,,BMX,P51813,ENSG00000102010,,,,,,,Human,ibrutinib,,,,,t,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,22394077
3251,BMX non-receptor tyrosine kinase,,BMX,P51813,ENSG00000102010,,,,,,,Human,ibrutinib,,,,,t,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,26641137
3252,BMX non-receptor tyrosine kinase,,BMX,P51813,ENSG00000102010,,,,,,,Human,PRN694,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,25593320
3253,BMX non-receptor tyrosine kinase,,BMX,P51813,ENSG00000102010,,,,,,,Human,ZYBT1,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,32790160
3254,bone morphogenetic protein 1,,BMP1,P13497,ENSG00000168487,,,,,,,Human,compound 2 [PMID: 11934595],,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,11934595
3255,Bone morphogenetic protein receptors,,BMPR1B|ACVR1|ACVRL1|ACVR2A|ACVR2B|BMPR2|BMPR1A,O00238|P27037|P36894|P37023|Q04771|Q13705|Q13873,ENSG00000107779|ENSG00000114739|ENSG00000115170|ENSG00000121989|ENSG00000138696|ENSG00000139567|ENSG00000204217,,,,,,,Human,BMP-10,,BMP10,Human,,f,Agonist,Agonist,,Not Determined,t,,,-,,,,-,,,,=,,,,
3256,Bone morphogenetic protein receptors,,BMPR1B|ACVR1|ACVRL1|ACVR2A|ACVR2B|BMPR2|BMPR1A,O00238|P27037|P36894|P37023|Q04771|Q13705|Q13873,ENSG00000107779|ENSG00000114739|ENSG00000115170|ENSG00000121989|ENSG00000138696|ENSG00000139567|ENSG00000204217,,,,,,,Human,BMP-2,,BMP2,Human,,f,Agonist,Agonist,,Not Determined,t,,,-,,,,-,,,,=,,,,
3257,Bone morphogenetic protein receptors,,BMPR1B|ACVR1|ACVRL1|ACVR2A|ACVR2B|BMPR2|BMPR1A,O00238|P27037|P36894|P37023|Q04771|Q13705|Q13873,ENSG00000107779|ENSG00000114739|ENSG00000115170|ENSG00000121989|ENSG00000138696|ENSG00000139567|ENSG00000204217,,,,,,,Human,BMP-4,,BMP4,Human,,f,Agonist,Agonist,,Not Determined,t,,,-,,,,-,,,,=,,,,
3258,Bone morphogenetic protein receptors,,BMPR1B|ACVR1|ACVRL1|ACVR2A|ACVR2B|BMPR2|BMPR1A,O00238|P27037|P36894|P37023|Q04771|Q13705|Q13873,ENSG00000107779|ENSG00000114739|ENSG00000115170|ENSG00000121989|ENSG00000138696|ENSG00000139567|ENSG00000204217,,,,,,,Human,BMP-5,,BMP5,Human,,f,Agonist,Agonist,,Not Determined,t,,,-,,,,-,,,,=,,,,
3259,Bone morphogenetic protein receptors,,BMPR1B|ACVR1|ACVRL1|ACVR2A|ACVR2B|BMPR2|BMPR1A,O00238|P27037|P36894|P37023|Q04771|Q13705|Q13873,ENSG00000107779|ENSG00000114739|ENSG00000115170|ENSG00000121989|ENSG00000138696|ENSG00000139567|ENSG00000204217,,,,,,,Human,BMP-6,,BMP6,Human,,f,Agonist,Agonist,,Not Determined,t,,,-,,,,-,,,,=,,,,
3260,Bone morphogenetic protein receptors,,BMPR1B|ACVR1|ACVRL1|ACVR2A|ACVR2B|BMPR2|BMPR1A,O00238|P27037|P36894|P37023|Q04771|Q13705|Q13873,ENSG00000107779|ENSG00000114739|ENSG00000115170|ENSG00000121989|ENSG00000138696|ENSG00000139567|ENSG00000204217,,,,,,,Human,BMP-7,,BMP7,Human,,f,Agonist,Agonist,,Not Determined,t,,,-,,,,-,,,,=,,,,
3261,Bone morphogenetic protein receptors,,BMPR1B|ACVR1|ACVRL1|ACVR2A|ACVR2B|BMPR2|BMPR1A,O00238|P27037|P36894|P37023|Q04771|Q13705|Q13873,ENSG00000107779|ENSG00000114739|ENSG00000115170|ENSG00000121989|ENSG00000138696|ENSG00000139567|ENSG00000204217,,,,,,,Human,BMP-8A,,BMP8A,Human,,f,Agonist,Agonist,,Not Determined,t,,,-,,,,-,,,,=,,,,
3262,Bone morphogenetic protein receptors,,BMPR1B|ACVR1|ACVRL1|ACVR2A|ACVR2B|BMPR2|BMPR1A,O00238|P27037|P36894|P37023|Q04771|Q13705|Q13873,ENSG00000107779|ENSG00000114739|ENSG00000115170|ENSG00000121989|ENSG00000138696|ENSG00000139567|ENSG00000204217,,,,,,,Human,BMP-8B,,BMP8B,Human,,f,Agonist,Agonist,,Not Determined,t,,,-,,,,-,,,,=,,,,
3263,Bone morphogenetic protein receptors,,BMPR1B|ACVR1|ACVRL1|ACVR2A|ACVR2B|BMPR2|BMPR1A,O00238|P27037|P36894|P37023|Q04771|Q13705|Q13873,ENSG00000107779|ENSG00000114739|ENSG00000115170|ENSG00000121989|ENSG00000138696|ENSG00000139567|ENSG00000204217,,,,,,,Human,BMP-9,,GDF2,Human,,f,Agonist,Agonist,,Not Determined,t,,,-,,,,-,,,,=,,,,
3264,bone morphogenetic protein receptor type 2,,BMPR2,Q13873,ENSG00000204217,,,,,,,Human,BMS-986165,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,31318208
3265,bone morphogenetic protein receptor type 2,,BMPR2,Q13873,ENSG00000204217,,,,,,,Human,compound 13a [PMID: 23639540],,,,,f,Inhibitor,Inhibition,,Non-selective,f,f,,pIC50,,,,IC50,,,,=,,,,23639540
3266,bone morphogenetic protein receptor type IA,,BMPR1A,P36894,ENSG00000107779,,,,,,,Human,compound 13a [PMID: 23639540],,,,,f,Inhibitor,Inhibition,,Non-selective,f,f,,pIC50,,,,IC50,,,,=,,,,23639540
3267,bone morphogenetic protein receptor type IA,,BMPR1A,P36894,ENSG00000107779,,,,,,,Human,compound 13d [PMID: 23639540],,,,,f,Inhibitor,Inhibition,,Not Determined,f,t,,pIC50,,,,IC50,,,,<,,,,23639540
3268,bone morphogenetic protein receptor type IA,,BMPR1A,P36894,ENSG00000107779,,,,,,,Human,compound 13r [PMID: 23639540],,,,,f,Inhibitor,Inhibition,,Non-selective,f,f,,pIC50,,,,IC50,,,,<,,,,23639540
3269,bone morphogenetic protein receptor type IA,,BMPR1A,P36894,ENSG00000107779,,,,,,,Human,LDN-214117,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,25101911
3270,bone morphogenetic protein receptor type IA,,BMPR1A,P36894,ENSG00000107779,,,,,,,Human,ML347,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,23639540
3271,bone morphogenetic protein receptor type IB,,BMPR1B,O00238,ENSG00000138696,,,,,,,Human,compound 13a [PMID: 23639540],,,,,f,Inhibitor,Inhibition,,Non-selective,f,f,,pIC50,,,,IC50,,,,=,,,,23639540
3272,bone morphogenetic protein receptor type IB,,BMPR1B,O00238,ENSG00000138696,,,,,,,Human,compound 13d [PMID: 23639540],,,,,f,Inhibitor,Inhibition,,Not Determined,f,t,,pIC50,,,,IC50,,,,<,,,,23639540
3273,bone morphogenetic protein receptor type IB,,BMPR1B,O00238,ENSG00000138696,,,,,,,Human,compound 13r [PMID: 23639540],,,,,f,Inhibitor,Inhibition,,Non-selective,f,f,,pIC50,,,,IC50,,,,<,,,,23639540
3274,bone morphogenetic protein receptor type IB,,BMPR1B,O00238,ENSG00000138696,,,,,,,Human,galunisertib,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,Value determined usinfg the DiscoverX KINOMEscan platform.,,,29467918
3275,"B-Raf proto-oncogene, serine/threonine kinase",,BRAF,P15056,ENSG00000157764,,,,,,,Human,agerafenib,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pKd,,,,Kd,,,,=,Inhibition of wild type BRAF activity.,,,22168626
3276,"B-Raf proto-oncogene, serine/threonine kinase",,BRAF,P15056,ENSG00000157764,,,,,,,Human,AZ628,,,,,f,Inhibitor,Inhibition,,Selective,f,t,,-,,,,-,,,,=,,,,18020980
3277,"B-Raf proto-oncogene, serine/threonine kinase",,BRAF,P15056,ENSG00000157764,,,,,,,Human,CCT196969,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,25500121
3278,"B-Raf proto-oncogene, serine/threonine kinase",,BRAF,P15056,ENSG00000157764,,,,,,,Human,CCT241161,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,25500121
3279,"B-Raf proto-oncogene, serine/threonine kinase",,BRAF,P15056,ENSG00000157764,,,,,,,Human,CHIR-265,,,,,f,Inhibitor,Inhibition,,Not Determined,f,t,,pKd,,,,Kd,,,,=,,,,22037378
3280,"B-Raf proto-oncogene, serine/threonine kinase",,BRAF,P15056,ENSG00000157764,,,,,,,Human,compound 2 [PMID: 26061392],,,,,f,Inhibitor,Inhibition,,Non-selective,f,f,,pKd,,,,Kd,,,,=,,,,26061392
3281,"B-Raf proto-oncogene, serine/threonine kinase",,BRAF,P15056,ENSG00000157764,,,,,,,Human,dabrafenib,,,,,t,Inhibitor,Inhibition,,Not Determined,f,t,,pIC50,,,,IC50,,,,=,,,,
3282,"B-Raf proto-oncogene, serine/threonine kinase",,BRAF,P15056,ENSG00000157764,,,,,,,Human,GDC-0879,,,,,f,Inhibitor,Inhibition,,Not Determined,f,t,,pIC50,,,,IC50,,,,=,,,,22037378|18676143
3283,"B-Raf proto-oncogene, serine/threonine kinase",,BRAF,P15056,ENSG00000157764,,,,,,,Human,L779450,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,16260133
3284,"B-Raf proto-oncogene, serine/threonine kinase",,BRAF,P15056,ENSG00000157764,,,,,,,Human,lifirafenib,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,Inhibition of wild type BRAF kinase domain (aa416-766),,,26208524
3285,"B-Raf proto-oncogene, serine/threonine kinase",,BRAF,P15056,ENSG00000157764,,,,,,,Human,LXH254,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pKd,,,,Kd,,,,=,Binding affinity determined using the KinomeScan® platform.,,,31059256
3286,"B-Raf proto-oncogene, serine/threonine kinase",,BRAF,P15056,ENSG00000157764,,,,,,,Human,LY3009120,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,26343583
3287,"B-Raf proto-oncogene, serine/threonine kinase",,BRAF,P15056,ENSG00000157764,,,,,,,Human,PLX-4720,,,,,f,Inhibitor,Inhibition,,Not Determined,f,t,,pKd,,,,Kd,,,,=,,,,22037378
3288,"B-Raf proto-oncogene, serine/threonine kinase",,BRAF,P15056,ENSG00000157764,,,,,,,Human,PLX-4720,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,18287029
3289,"B-Raf proto-oncogene, serine/threonine kinase",,BRAF,P15056,ENSG00000157764,,,,,,,Human,PLX8394,,,,,f,Inhibitor,Inhibition,,Not Determined,f,f,,pIC50,,,,IC50,,,,=,,,,26466569
