,receptor,family,gene
310,histone deacetylase 1,3.5.1.- Histone deacetylases (HDACs),['HDAC4']
311,histone deacetylase 2,3.5.1.- Histone deacetylases (HDACs),['HDAC1']
312,histone deacetylase 4,3.5.1.- Histone deacetylases (HDACs),['HDAC4']
313,histone deacetylase 5,3.5.1.- Histone deacetylases (HDACs),['HDAC4']
314,histone deacetylase 6,3.5.1.- Histone deacetylases (HDACs),"['HDAC6', 'HDAC6']"
315,histone deacetylase 7,3.5.1.- Histone deacetylases (HDACs),['HDAC4']
316,histone deacetylase 9,3.5.1.- Histone deacetylases (HDACs),['HDAC4']
317,histone deacetylase 11,3.5.1.- Histone deacetylases (HDACs),['HDAC11']
318,sirtuin 1,3.5.1.- Histone deacetylases (HDACs),['Sirt1']
319,sirtuin 2,3.5.1.- Histone deacetylases (HDACs),['Sirt2']
320,sirtuin 4,3.5.1.- Histone deacetylases (HDACs),['Sirt4']
321,sirtuin 6,3.5.1.- Histone deacetylases (HDACs),['Sirt6']
322,sirtuin 7,3.5.1.- Histone deacetylases (HDACs),['Sirt7']
323,3-ketodihydrosphingosine reductase,3-ketodihydrosphingosine reductase,['CG10425']
324,FKBP prolyl isomerase 1A,5.2.-.- Cis-trans-isomerases,['Fkbp12']
325,peptidylprolyl isomerase A,5.2.-.- Cis-trans-isomerases,"['CG8336', 'CG8336']"
326,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase",6.3.3.- Cyclo-ligases,['Gart']
327,beta-secretase 1,A1: Pepsin,"['Bace', 'CG6508', 'CG17134', 'CG33128']"
328,beta-secretase 2,A1: Pepsin,"['Bace', 'CG6508', 'CG17134', 'CG33128']"
329,cathepsin D,A1: Pepsin,['cathD']
330,cathepsin E,A1: Pepsin,"['Bace', 'CG6508', 'CG17134', 'CG33128']"
331,progastricsin,A1: Pepsin,"['Bace', 'CG6508', 'CG17134', 'CG33128']"
332,renin,A1: Pepsin,"['Bace', 'CG6508', 'CG17134', 'CG33128']"
333,presenilin 1,A22: Presenilin,['Psn']
334,presenilin 2,A22: Presenilin,['Psn']
335,katanin catalytic subunit A1,AAA ATPases,"['kat-60L1', 'Kat60']"
336,aarF domain containing kinase 1,ABC1-B subfamily,['Adck']
337,coenzyme Q8B,ABC1-B subfamily,['Coq8']
338,aarF domain containing kinase 5,ABC1-B subfamily,['CG7616']
339,acetylcholinesterase (Cartwright blood group),Acetylcholine turnover,"['Est-6', 'Est-P', 'Glt', 'Jhe', 'alpha-Est1', 'alpha-Est10', 'alpha-Est2', 'alpha-Est3', 'alpha-Est4', 'alpha-Est6', 'alpha-Est7', 'alpha-Est8', 'alpha-Est9', 'CG4757', 'CG9287', 'CG9289', 'CG3841', 'CG4382', 'Jhedup', 'gas', 'alpha-Est5']"
340,butyrylcholinesterase,Acetylcholine turnover,['Ace']
341,tyrosine kinase non receptor 2,Ack family,['Ack']
342,Adenosine kinase,Adenosine turnover,"['AdenoK', 'CG3809']"
343,Ecto-5'-Nucleotidase,Adenosine turnover,"['veil', 'CG30103', 'NT5E-2', 'CG42249']"
344,S-Adenosylhomocysteine hydrolase,Adenosine turnover,['Ahcy']
345,5'-nucleotidase II,Adenosine turnover,"['CG1814', 'CG32549']"
346,5'-nucleotidase III,Adenosine turnover,['cN-IIIB']
347,adenylyl cyclase 3,Adenylyl cyclases (ACs),['Ac3']
348,adenylyl cyclase 5,Adenylyl cyclases (ACs),['CG43373']
349,adenylyl cyclase 9,Adenylyl cyclases (ACs),['Ac13E']
350,alkaline ceramidase 1,Alkaline ceramidases,['bwa']
351,alkaline ceramidase 2,Alkaline ceramidases,['bwa']
352,protein kinase C beta,Alpha subfamily,['Pkcdelta']
353,protein kinase C gamma,Alpha subfamily,"['Pkc53E', 'inaC', 'Pkcdelta']"
354,L-Phenylalanine hydroxylase ,Amino acid hydroxylases,['Hn']
355,L-Tyrosine hydroxylase ,Amino acid hydroxylases,['ple']
356,L-Tryptophan hydroxylase 1,Amino acid hydroxylases,['Trh']
357,L-Tryptophan hydroxylase 2,Amino acid hydroxylases,['Trh']
358,protein kinase AMP-activated catalytic subunit alpha 2,AMPK subfamily,['AMPKalpha']
359,protein kinase AMP-activated non-catalytic subunit beta 1,AMPK subfamily,['alc']
360,Arginase I,Arginase,['arg']
361,Arginase II,Arginase,['arg']
362,ATR serine/threonine kinase,ATR subfamily,['mei-41']
363,aurora kinase A,Aurora kinase (Aur) family,['aurA']
364,BCR activator of RhoGEF and GTPase,BCR family,['RhoGAP1A']
365,beta adrenergic receptor kinase 1,Beta-adrenergic receptor kinases (βARKs),"['Gprk1', 'Gprk2']"
366,bromodomain containing 1,Bromodomain kinase (BRDK) family,['Br140']
367,bromodomain containing 2,Bromodomain kinase (BRDK) family,['tbrd-1']
368,bromodomain containing 3,Bromodomain kinase (BRDK) family,['tbrd-1']
369,bromodomain containing 4,Bromodomain kinase (BRDK) family,"['Gcn5', 'Acf', 'tbrd-3']"
370,bromodomain containing 7,Bromodomain kinase (BRDK) family,['CG7154']
371,bromodomain containing 8,Bromodomain kinase (BRDK) family,['Brd8']
372,bromodomain containing 9,Bromodomain kinase (BRDK) family,['CG7154']
373,BUB1 mitotic checkpoint serine/threonine kinase,Bub family,"['Bub1', 'BubR1']"
374,BUB1 mitotic checkpoint serine/threonine kinase B,Bub family,"['Bub1', 'BubR1']"
375,TP53 regulating kinase,Bud32 family,['Prpk']
376,BRCA1 associated protein 1,C12: Ubiquitin C-terminal hydrolase,['calypso']
377,Caspase 1,C14: Caspase,"['Dronc', 'Decay']"
378,Caspase 2,C14: Caspase,"['Dronc', 'Decay']"
379,Caspase 3,C14: Caspase,"['Dcp-1', 'Drice']"
380,Caspase 4,C14: Caspase,"['Dronc', 'Decay']"
381,Caspase 6,C14: Caspase,"['Dronc', 'Decay', 'Dronc', 'Decay']"
382,Caspase 7,C14: Caspase,"['Dcp-1', 'Drice']"
383,Caspase 8,C14: Caspase,"['Dronc', 'Decay']"
384,Caspase 9,C14: Caspase,"['Dronc', 'Decay']"
385,Caspase 14,C14: Caspase,"['Dronc', 'Decay']"
386,ubiquitin specific peptidase 14,C19: Ubiquitin-specific protease,['Usp14']
387,cathepsin F,C1: Papain,"['CtsB1', 'CG5367', 'CG6347', 'Swim', 'CG11459', '26-29-p', 'CG12163']"
388,cathepsin V,C1: Papain,"['CtsB1', 'CG5367', 'CG6347', 'Swim', 'CG11459', '26-29-p', 'CG12163']"
389,gamma-glutamyl hydrolase,C26: Gamma-glutamyl hydrolase,"['l(3)72Dp', 'l(3)72Dr']"
390,phosphoribosyl pyrophosphate amidotransferase,C44: Phosphoribosyl pyrophosphate amidotransferase,"['Prat', 'Prat2']"
391,SUMO specific peptidase 6,C48: Ulp1 endopeptidase,['CG12717']
392,SUMO specific peptidase 7,C48: Ulp1 endopeptidase,['CG12717']
393,"SUMO peptidase family member, NEDD8 specific",C48: Ulp1 endopeptidase,"['CG1503', 'Den1']"
394,autophagy related 4B cysteine peptidase,C54: Aut2 peptidase,['Atg4a']
395,calcium/calmodulin dependent protein kinase ID,CAMK1 family,['CaMKI']
396,calcium/calmodulin-dependent protein kinase II delta subunit,CAMK2 family,['CaMKII']
397,serine/threonine kinase 40,CAMK-unique family,['trbl']
398,carbonic anhydrase 1,Carbonic anhydrases,"['CAH13', 'CAH14', 'CAH15', 'CAH7', 'CAH8', 'CAH4', 'CAH9', 'CAH6', 'CAH16', 'CAH5', 'CARPB']"
399,carbonic anhydrase 2,Carbonic anhydrases,['CAH1']
400,carbonic anhydrase 4,Carbonic anhydrases,"['CAH13', 'CAH14', 'CAH15', 'CAH7', 'CAH4', 'CARPB']"
401,carbonic anhydrase 5A,Carbonic anhydrases,"['CAH13', 'CAH14', 'CAH15', 'CAH7', 'CAH8', 'CAH4', 'CAH9', 'CAH6', 'CAH16', 'CAH5', 'CARPB']"
402,carbonic anhydrase 7,Carbonic anhydrases,"['CAH13', 'CAH14', 'CAH15', 'CAH7', 'CAH8', 'CAH4', 'CAH9', 'CAH6', 'CAH16', 'CAH5', 'CARPB']"
403,carbonic anhydrase 9,Carbonic anhydrases,"['CAH13', 'CAH14', 'CAH15', 'CAH7', 'CAH8', 'CAH4', 'CAH9', 'CAH6', 'CAH16', 'CAH5', 'CARPB']"
404,carbonic anhydrase 12,Carbonic anhydrases,"['CAH13', 'CAH14', 'CAH15', 'CAH7', 'CAH8', 'CAH4', 'CAH9', 'CAH6', 'CAH16', 'CAH5', 'CARPB']"
405,carbonic anhydrase 14,Carbonic anhydrases,"['CAH13', 'CAH14', 'CAH15', 'CAH7', 'CAH4', 'CARPB']"
406,Pyruvate carboxylase,Carboxylases,['PCB']
407,Acetyl-CoA carboxylase 2,Carboxylases,['ACC']
408,Propionyl-CoA carboxylase β subunit,Carboxylases,"['CG17177', 'CG3349']"
409,γ-Glutamyl carboxylase,Carboxylases,['GC']
410,casein kinase 1 alpha 1,Casein kinase 1 (CK1) family,"['CkIalpha', 'CG2577', 'CG7094', 'CG12147']"
411,casein kinase 1 gamma 1,Casein kinase 1 (CK1) family,['ball']
412,casein kinase 1 gamma 2,Casein kinase 1 (CK1) family,['gish']
413,casein kinase 1 delta,Casein kinase 1 (CK1) family,['dco']
414,casein kinase 1 epsilon,Casein kinase 1 (CK1) family,['dco']
415,"casein kinase 2, alpha 1 polypeptide subunit",Casein kinase 2 (CK2) family,['CkIIalpha']
416,"casein kinase 2, alpha prime polypeptide subunit",Casein kinase 2 (CK2) family,['CkIIalpha']
417,"casein kinase 2, beta polypeptide subunit",Casein kinase 2 (CK2) family,['CkIIbeta']
418,L-Phenylalanine hydroxylase ,Catecholamine turnover,['Hn']
419,Tyrosine aminotransferase,Catecholamine turnover,['CG1461']
420,L-Tyrosine hydroxylase ,Catecholamine turnover,['ple']
421,L-Aromatic amino-acid decarboxylase ,Catecholamine turnover,['Ddc']
422,Dopamine beta-hydroxylase (dopamine beta-monooxygenase),Catecholamine turnover,['Tbh']
423,Monoamine oxidase A,Catecholamine turnover,"['CG10561', 'CG7737', 'CG5653', 'CG7460', 'CG6034', 'CG8032', 'shps']"
424,Monoamine oxidase B,Catecholamine turnover,"['CG10561', 'CG7737', 'CG5653', 'CG7460', 'CG6034', 'CG8032', 'shps']"
425,cyclin dependent kinase 20,CCRK subfamily,['CG6800']
426,cell division cycle 7,CDC7 family,"['Cdc7', 'CG5790']"
427,cyclin dependent kinase 10,CDK10 subfamily,['Cdc2rk']
428,cyclin dependent kinase 1,CDK1 subfamily,['Cdk1']
429,cyclin dependent kinase 5,CDK5 subfamily,['Cdk5']
430,cyclin dependent kinase 7,CDK7 subfamily,['Cdk7']
431,cyclin dependent kinase 19,CDK8 subfamily,['Cdk8']
432,cyclin dependent kinase 9,CDK9 subfamily,['Cdk9']
433,UDP-glucose ceramide glucosyltransferase,Ceramide glucosyltransferase,['GlcT']
434,ceramide kinase,Ceramide kinase,"['Sk1', 'Cerk', 'Sk2']"
435,ceramide synthase 5,Ceramide synthase,['schlank']
436,ceramide synthase 6,Ceramide synthase,['schlank']
437,TRPM6,ChaK subfamily,['Trpm']
438,TRPM7,ChaK subfamily,['Trpm']
439,chitinase acidic,Chitinases,"['Idgf6', 'Idgf3', 'Idgf2', 'Idgf1', 'Idgf4', 'Cht7', 'Cda4', 'Idgf5']"
440,checkpoint kinase 1,CHK1 subfamily,['Stt3A']
441,checkpoint kinase 2,CHK1 subfamily,['lok']
442,CDC like kinase 1,CLK family,['mnb']
443,CDC like kinase 2,CLK family,['Doa']
444,CDC like kinase 3,CLK family,['mnb']
445,CDC like kinase 4,CLK family,['mnb']
446,cyclin dependent kinase 13,CRK7 subfamily,['Cdk12']
447,CYP19A1,"CYP11, CYP17, CYP19, CYP20 and CYP21 families","['Cyp4d1', 'Cyp4d2', 'Cyp4e2', 'Cyp4c3', 'Cyp4d8', 'Cyp4e1', 'Cyp4e3', 'Cyp4ae1', 'Cyp4p1', 'Cyp4d14', 'Cyp4s3', 'Cyp4ac1', 'Cyp4ac2', 'Cyp4ac3', 'Cyp4d21', 'Cyp4ad1', 'Cyp4p2', 'Cyp4p3', 'Cyp4aa1', 'Cyp4d20', 'Cyp312a1']"
448,CYP24A1,"CYP24, CYP26 and CYP27 families",['sad']
449,CYP27A1,"CYP24, CYP26 and CYP27 families",['sad']
450,CYP27B1,"CYP24, CYP26 and CYP27 families",['sad']
451,CYP4B1,CYP4 family,"['Cyp4d1', 'Cyp4d2', 'Cyp4e2', 'Cyp4c3', 'Cyp4d8', 'Cyp4e1', 'Cyp4e3', 'Cyp4ae1', 'Cyp4p1', 'Cyp4d14', 'Cyp4s3', 'Cyp4ac1', 'Cyp4ac2', 'Cyp4ac3', 'Cyp4d21', 'Cyp4ad1', 'Cyp4p2', 'Cyp4p3', 'Cyp4aa1', 'Cyp4d20', 'Cyp312a1']"
452,CYP4X1,CYP4 family,"['Cyp4d1', 'Cyp4d2', 'Cyp4e2', 'Cyp4c3', 'Cyp4d8', 'Cyp4e1', 'Cyp4e3', 'Cyp4ae1', 'Cyp4p1', 'Cyp4d14', 'Cyp4s3', 'Cyp4ac1', 'Cyp4ac2', 'Cyp4ac3', 'Cyp4d21', 'Cyp4ad1', 'Cyp4p2', 'Cyp4p3', 'Cyp4aa1', 'Cyp4d20', 'Cyp312a1']"
453,Glutamic acid decarboxylase 1,Decarboxylases,"['Gad1', 'Tdc2']"
454,Glutamic acid decarboxylase 2,Decarboxylases,"['Gad1', 'Tdc2']"
455,Histidine decarboxylase,Decarboxylases,['Hdc']
456,L-Arginine decarboxylase ,Decarboxylases,"['Odc1', 'Odc2']"
457,L-Aromatic amino-acid decarboxylase ,Decarboxylases,['Ddc']
458,Ornithine decarboxylase,Decarboxylases,"['Odc1', 'Odc2']"
459,Phosphatidylserine decarboxylase ,Decarboxylases,['Pisd']
460,S-Adenosylmethionine decarboxylase ,Decarboxylases,['SamDC']
461,protein kinase C alpha,Delta subfamily,['Pkcdelta']
462,"NG,NG-Dimethylarginine dimethylaminohydrolase 1",Dimethylarginine dimethylaminohydrolases,['CG1764']
463,"NG,NG-Dimethylarginine dimethylaminohydrolase 2",Dimethylarginine dimethylaminohydrolases,['CG1764']
464,8-oxoguanine DNA glycosylase,DNA glycosylases,['Ogg1']
465,dual specificity tyrosine phosphorylation regulated kinase 1A,Dyrk1 subfamily,['mnb']
466,dual specificity tyrosine phosphorylation regulated kinase 1B,Dyrk1 subfamily,['mnb']
467,dual specificity tyrosine phosphorylation regulated kinase 4,Dyrk1 subfamily,['Dyrk2']
468,dual specificity tyrosine phosphorylation regulated kinase 3,Dyrk2 subfamily,['mnb']
469,cereblon,E3 ubiquitin ligase components,['ohgt']
470,mitogen-activated protein kinase 15,Erk7 subfamily,['Erk7']
471,mitogen-activated protein kinase 1,ERK subfamily,['rl']
472,protein kinase C epsilon,Eta subfamily,['Pkcdelta']
473,protein kinase C eta,Eta subfamily,['Pkcdelta']
474,mechanistic target of rapamycin kinase,FRAP subfamily,['Tor']
475,serine/threonine kinase 39,FRAY subfamily,['fray']
476,Glutamic acid decarboxylase 1,GABA turnover,"['Gad1', 'Tdc2']"
477,Glutamic acid decarboxylase 2,GABA turnover,"['Gad1', 'Tdc2']"
478,4-aminobutyrate aminotransferase,GABA turnover,['Gabat']
479,aldehyde dehydrogenase 5 family member A1,GABA turnover,['Ssadh']
480,eukaryotic translation initiation factor 2 alpha kinase 4,GCN2 subfamily,['Gcn2']
481,DM1 protein kinase,GEK subfamily,"['CG32944', 'dop']"
482,CDC42 binding protein kinase gamma,GEK subfamily,['gek']
483,CDC42 binding protein kinase alpha,GEK subfamily,['gek']
484,CDC42 binding protein kinase beta,GEK subfamily,['gek']
485,glycine cleavage system protein H,Glycine recycling,['ppl']
486,G protein-coupled receptor kinase 4,GRK4 subfamily,['Gprk2']
487,G protein-coupled receptor kinase 5,GRK4 subfamily,"['Gprk1', 'Gprk2']"
488,G protein-coupled receptor kinase 6,GRK4 subfamily,['Gprk2']
489,glycogen synthase kinase 3 alpha,GSK subfamily,"['sgg', 'gskt']"
490,glycogen synthase kinase 3 beta,GSK subfamily,"['sgg', 'gskt']"
491,Haem oxygenase 1,Haem oxygenase,['Ho']
492,Haem oxygenase 2,Haem oxygenase,['Ho']
493,Glucokinase,Hexokinases,"['Hex-A', 'Hex-C', 'Hex-t2', 'Hex-t1']"
494,homeodomain interacting protein kinase 1,HIPK subfamily,['mnb']
495,homeodomain interacting protein kinase 2,HIPK subfamily,['mnb']
496,homeodomain interacting protein kinase 3,HIPK subfamily,['Hipk']
497,homeodomain interacting protein kinase 4,HIPK subfamily,['mnb']
498,Cystathionine β-synthase,Hydrogen sulphide synthesis,['Cbs']
499,Cystathionine γ-lyase,Hydrogen sulphide synthesis,['Eip55E']
500,L-Cysteine:2-oxoglutarate aminotransferase,Hydrogen sulphide synthesis,"['CG1640', 'CG6321']"
501,acetylcholinesterase (Cartwright blood group),Hydrolases,"['Est-6', 'Est-P', 'Glt', 'Jhe', 'alpha-Est1', 'alpha-Est10', 'alpha-Est2', 'alpha-Est3', 'alpha-Est4', 'alpha-Est6', 'alpha-Est7', 'alpha-Est8', 'alpha-Est9', 'CG4757', 'CG9287', 'CG9289', 'CG3841', 'CG4382', 'Jhedup', 'gas', 'alpha-Est5']"
502,butyrylcholinesterase,Hydrolases,['Ace']
503,carboxylesterase 1,Hydrolases,"['Est-6', 'Est-P', 'Glt', 'Gli', 'Jhe', 'alpha-Est1', 'alpha-Est10', 'alpha-Est2', 'alpha-Est3', 'alpha-Est4', 'alpha-Est6', 'alpha-Est7', 'alpha-Est8', 'alpha-Est9', 'CG4757', 'CG9287', 'CG9289', 'CG3841', 'CG4382', 'Jhedup', 'gas', 'Nlg3', 'alpha-Est5']"
504,epoxide hydrolase 2,Hydrolases,"['CG5704', 'CG5707', 'CG15879', 'CG15820', 'CG11309', 'CG7632']"
505,Fatty acid amide hydrolase,Hydrolases,"['CG7910', 'CG7900', 'CG7910', 'CG7900']"
506,Leukotriene A4 hydrolase,Hydrolases,['CG10602']
507,"lipase E, hormone sensitive type",Hydrolases,['Hsl']
508,"lipase G, endothelial type",Hydrolases,"['CG5162', 'CG6675', 'CG6472', 'CG5665', 'sxe2', 'CG4582', 'CG6296', 'CG6295', 'CG17192', 'CG17191', 'CG6283', 'CG6277', 'CG6271', 'CG4267', 'CG18258']"
509,O-GlcNAcase,Hydrolases,['Oga']
510,pancreatic lipase,Hydrolases,"['Yp1', 'Yp3', 'Yp2', 'CG5162', 'CG6847', 'CG7367', 'CG13282', 'CG6675', 'CG6472', 'CG10163', 'CG10116', 'CG5665', 'sxe2', 'CG4582', 'CG6296', 'CG6295', 'CG17192', 'CG17191', 'CG6283', 'CG6277', 'CG6271', 'CG34447', 'CG34448', 'CG14034', 'CG4267', 'CG18258']"
511,PLD2,Hydrolases,['Pld']
512,vanin 1,Hydrolases,"['Btnd', 'vanin-like', 'CG32750', 'CG32751']"
513,component of inhibitor of nuclear factor kappa B kinase complex,IKK family,['IKKbeta']
514,inhibitor of nuclear factor kappa B kinase subunit beta,IKK family,['IKKbeta']
515,inhibitor of nuclear factor kappa B kinase subunit epsilon,IKK family,['IKKepsilon']
516,TANK binding kinase 1,IKK family,['IKKepsilon']
517,integrin linked kinase,ILK subfamily,['Ilk']
518,Fatty acid amide hydrolase,N-Acylethanolamine turnover,"['CG7910', 'CG7900', 'CG7910', 'CG7900']"
519,IP3 kinase A,"Inositol 1,4,5-trisphosphate 3-kinases","['IP3K1', 'CG10082']"
520,IP3 kinase B,"Inositol 1,4,5-trisphosphate 3-kinases","['IP3K1', 'CG10082']"
521,IP3 kinase C,"Inositol 1,4,5-trisphosphate 3-kinases","['IP3K1', 'CG10082']"
522,IMPase 1,Inositol monophosphatase,"['CG17026', 'CG17029', 'CG17028', 'CG17027']"
523,IMPase 2,Inositol monophosphatase,"['CG17026', 'CG17029', 'CG17028', 'CG17027']"
524,INPP1,Inositol polyphosphate phosphatases,['Ipp']
525,INPP4B,Inositol polyphosphate phosphatases,['CG42271']
526,INPP5A,Inositol polyphosphate phosphatases,['5PtaseI']
527,INPP5B,Inositol polyphosphate phosphatases,['Ocrl']
528,INPP5D,Inositol polyphosphate phosphatases,"['CG9784', 'CG6805', 'Synj']"
529,INPP5E,Inositol polyphosphate phosphatases,['INPP5E']
530,INPP5J,Inositol polyphosphate phosphatases,"['CG9784', 'CG6805', 'Synj']"
531,INPP5K,Inositol polyphosphate phosphatases,"['CG9784', 'CG6805', 'Synj']"
532,INPPL1,Inositol polyphosphate phosphatases,['Synj']
533,OCRL,Inositol polyphosphate phosphatases,"['CG9784', 'CG6805', 'Synj']"
534,SYNJ1,Inositol polyphosphate phosphatases,"['CG9784', 'CG6805', 'Synj']"
535,SYNJ2,Inositol polyphosphate phosphatases,"['CG9784', 'CG6805', 'Synj', 'CG7956']"
536,interleukin 1 receptor associated kinase 1,Interleukin-1 receptor-associated kinase (IRAK) family,"['pll', 'Haspin']"
537,interleukin 1 receptor associated kinase 2,Interleukin-1 receptor-associated kinase (IRAK) family,"['pll', 'Haspin']"
538,interleukin 1 receptor associated kinase 3,Interleukin-1 receptor-associated kinase (IRAK) family,"['pll', 'Haspin']"
539,protein kinase C iota,Iota subfamily,['Pkcdelta']
540,protein kinase C zeta,Iota subfamily,['Pkcdelta']
541,endoplasmic reticulum to nucleus signaling 2,IRE family,['Ire1']
542,acetyl-CoA acetyltransferase 1,Lanosterol biosynthesis pathway,['CG10932']
543,acetyl-CoA acetyltransferase 2,Lanosterol biosynthesis pathway,['CG9149']
544,hydroxymethylglutaryl-CoA synthase 1,Lanosterol biosynthesis pathway,['Hmgs']
545,hydroxymethylglutaryl-CoA synthase 2,Lanosterol biosynthesis pathway,['Hmgs']
546,hydroxymethylglutaryl-CoA reductase,Lanosterol biosynthesis pathway,['Hmgcr']
547,mevalonate kinase,Lanosterol biosynthesis pathway,['CG33671']
548,phosphomevalonate kinase,Lanosterol biosynthesis pathway,['CG10268']
549,diphosphomevalonate decarboxylase,Lanosterol biosynthesis pathway,['Mvd']
550,isopentenyl-diphosphate Δ-isomerase 1,Lanosterol biosynthesis pathway,['Idi']
551,isopentenyl-diphosphate Δ-isomerase 2,Lanosterol biosynthesis pathway,['Idi']
552,geranylgeranyl diphosphate synthase,Lanosterol biosynthesis pathway,['qm']
553,γ-Glutamyltransferase,Leukotriene and lipoxin metabolism,"['CG4306', 'CG32196']"
554,Dipeptidase 1,Leukotriene and lipoxin metabolism,"['CG6154', 'CG44837']"
555,Dipeptidase 2,Leukotriene and lipoxin metabolism,"['CG6154', 'CG44837']"
556,Leukotriene A4 hydrolase,Leukotriene and lipoxin metabolism,['CG10602']
557,PPA2A,Lipid phosphate phosphatases,"['wun', 'laza', 'CG11438', 'CG11437', 'CG11426', 'CG11425', 'CG12746', 'wun2']"
558,PPA2B,Lipid phosphate phosphatases,"['wun', 'laza', 'CG11438', 'CG11437', 'CG11426', 'CG11425', 'CG12746', 'wun2']"
559,PPA3A,Lipid phosphate phosphatases,"['wun', 'laza', 'CG11438', 'CG11437', 'CG11426', 'CG11425', 'CG12746', 'wun2']"
560,phosphatase and tensin homolog,Lipid phosphate phosphatases,['Pten']
561,serine/threonine kinase 11,LKB subfamily,['Lkb1']
562,mitogen-activated protein kinase kinase kinase 12,LZK subfamily,['wnd']
563,ADAM17,M12: Astacin/Adamalysin,['Tace']
564,Endothelin-converting enzyme 1,M13: Neprilysin,"['Nepl21', 'Nep3', 'Nepl3', 'Nepl12', 'Nep4', 'Nepl15', 'Nep7', 'Nepl18', 'Nepl19', 'Nepl20']"
565,Endothelin-converting enzyme 2,M13: Neprilysin,"['Nepl21', 'Nep3', 'Nepl3', 'Nepl12', 'Nep4', 'Nepl15', 'Nep7', 'Nepl18', 'Nepl19', 'Nepl20']"
566,Neutral endopeptidase,M13: Neprilysin,"['Nepl21', 'Nep3', 'Nepl3', 'Nepl12', 'Nep4', 'Nepl15', 'Nep7', 'Nepl18', 'Nepl19', 'Nepl20']"
567,Carboxypeptidase A1 (pancreatic),M14: Carboxypeptidase A,"['CG3097', 'CG3108', 'CG18585', 'CG7025', 'CG4017', 'CG17633', 'CG2915', 'CG12374', 'CG14820', 'CG8563', 'CG8562', 'CG18417', 'CG8560', 'CG8539', 'CG4408', 'CG32379', 'CG42264']"
568,Carboxypeptidase A2 (pancreatic),M14: Carboxypeptidase A,"['CG18585', 'CG7025', 'CG4017', 'CG17633', 'CG2915', 'CG12374', 'CG14820', 'CG8562', 'CG18417', 'CG8560', 'CG8539', 'CG4408', 'CG32379', 'CG42264']"
569,Carboxypeptidase A3 (mast cell),M14: Carboxypeptidase A,"['CG3097', 'CG3108', 'CG18585', 'CG7025', 'CG4017', 'CG17633', 'CG2915', 'CG12374', 'CG14820', 'CG8563', 'CG8562', 'CG18417', 'CG8560', 'CG8539', 'CG4408', 'CG32379', 'CG42264']"
570,Carboxypeptidase A4,M14: Carboxypeptidase A,"['CG3097', 'CG3108', 'CG18585', 'CG7025', 'CG4017', 'CG17633', 'CG2915', 'CG12374', 'CG14820', 'CG8563', 'CG8562', 'CG18417', 'CG8560', 'CG8539', 'CG4408', 'CG32379', 'CG42264']"
571,Carboxypeptidase A5,M14: Carboxypeptidase A,"['CG3097', 'CG3108', 'CG18585', 'CG7025', 'CG4017', 'CG17633', 'CG2915', 'CG12374', 'CG14820', 'CG8563', 'CG8562', 'CG18417', 'CG8560', 'CG8539', 'CG4408', 'CG32379', 'CG42264']"
572,Carboxypeptidase A6,M14: Carboxypeptidase A,"['CG3097', 'CG3108', 'CG18585', 'CG7025', 'CG4017', 'CG17633', 'CG2915', 'CG12374', 'CG14820', 'CG8563', 'CG8562', 'CG18417', 'CG8560', 'CG8539', 'CG4408', 'CG32379', 'CG42264']"
573,Carboxypeptidase B1 (tissue),M14: Carboxypeptidase A,"['CG18585', 'CG7025', 'CG4017', 'CG17633', 'CG2915', 'CG12374', 'CG14820', 'CG8562', 'CG18417', 'CG8560', 'CG8539', 'CG4408', 'CG32379', 'CG42264']"
574,Carboxypeptidase B2 (plasma),M14: Carboxypeptidase A,"['CG3097', 'CG3108', 'CG18585', 'CG7025', 'CG4017', 'CG17633', 'CG2915', 'CG12374', 'CG14820', 'CG8563', 'CG8562', 'CG18417', 'CG8560', 'CG8539', 'CG4408', 'CG32379', 'CG42264']"
575,Carboxypeptidase D,M14: Carboxypeptidase A,['svr']
576,Carboxypeptidase M,M14: Carboxypeptidase A,['CG4678']
577,insulin degrading enzyme,M16: Pitrilysin,['Ide']
578,Aminopeptidase-like 1,M17: Leucyl aminopeptidase,['grsm']
579,Leucine aminopeptidase 3,M17: Leucyl aminopeptidase,"['S-Lap5', 'S-Lap7', 'S-Lap8', 'S-Lap1', 'S-Lap3', 'S-Lap4', 'S-Lap2', 'loopin-1']"
580,Dipeptidase 1,M19: Membrane dipeptidase,"['CG6154', 'CG44837']"
581,Aminopeptidase N,M1: Aminopeptidase N,"['CG7653', 'CG9806', 'CG2111', 'CG6071', 'CG5849', 'CG3502', 'CG31233', 'CG31343', 'CG31445', 'SP1029', 'CG46339']"
582,Aminopeptidase O,M1: Aminopeptidase N,"['CG7653', 'CG9806', 'CG2111', 'CG6071', 'CG5849', 'CG3502', 'CG31233', 'CG31343', 'CG31445', 'SP1029', 'CG46339']"
583,Arginyl aminopeptidase,M1: Aminopeptidase N,"['CG7653', 'CG9806', 'CG2111', 'CG6071', 'CG3502', 'CG31445', 'SP1029']"
584,Arginyl aminopeptidase-like 1,M1: Aminopeptidase N,"['CG7653', 'CG9806', 'CG2111', 'CG6071', 'CG5849', 'CG3502', 'CG31233', 'CG31343', 'CG31445', 'SP1029', 'CG46339']"
